Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_collision,-0.072651,-4.4686E-05,2.7227E-06,0,0,0,2.8,0.0029362,4.3897E-06,3.2284E-07,0.0016967,-3.3685E-10,0.0017243,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/base_collision.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/base_collision.STL,,SK01-HL-A00-2,Global Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HL_hip_link_collision,0.026196,0.039035,-5.8825E-05,0,0,0,1.3,0.0005559,1.3767E-05,2.7997E-09,0.00078767,-1.4339E-09,0.00044966,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_hip_link_collision.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_hip_link_collision.STL,,SK01-HL-A10-1,HL-Link1 Coordinate,HL-J1,HL_hip_joint,revolute,-0.225,0.0225,0,0,0,0,base_collision,1,0,0,84,29.6,-0.26,0.26,,,,,,,,
HL_thigh_link_collision,0.055714,0.00033952,-0.077945,0,0,0,3.3,0.005622,1.4966E-06,0.002616,0.0094645,-4.1319E-06,0.0040228,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_thigh_link_collision.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_thigh_link_collision.STL,,SK01-HL-A30-1,HL-Link2 Coordinate,HL-J2,HL_thigh_joint,revolute,0,0.115,0,0,0,0,HL_hip_link_collision,0,1,0,84,29.6,-1.13,2.36,,,,,,,,
HL_calf_link_collision,-0.0754840033561919,0.000115676845218377,-0.0672662776241112,0,0,0,0.652069857888926,0.00111501202020148,-6.32968905083341E-10,-0.0011638411177275,0.00267926993560301,-1.22738991733241E-10,0.00159556708553027,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_calf_link_collision.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_calf_link_collision.STL,,SK01-HL-A40-1,HL-Link3 Coordinate,HL-J3,HL_calf_joint,revolute,0.13192,0,-0.1884,0,0,0,HL_thigh_link_collision,0,1,0,126,19.7,-1.04,0.87,,,,,,,,
HL_foot_link_collision,0.0107475770387189,-1.39396827414373E-12,-0.0609525382065721,0,0,0,0.204919230779423,0.000271645003985121,-1.0764130615403E-10,4.25116726987774E-05,0.000305655453466354,-1.89643532415328E-11,3.80452824910723E-05,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_foot_link_collision.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_foot_link_collision.STL,,SK01-HL-A50-1,HL-Link4 Coordinate,HL-J4,HL_foot_joint,revolute,-0.18768,0,-0.15748,0,0,0,HL_calf_link_collision,0,1,0,100.8,14.8,-1.48,0.44,,,,,,,,
HL_foot_contact_link_collision,0.00167426650680269,-8.03430644236158E-09,-0.00949523507375383,0,0,0,0.0420009133858073,1.23353171986872E-05,-6.12960967679467E-12,-7.2631693411065E-07,1.66282448362723E-05,-7.88503291850928E-13,1.63264009716353E-05,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_foot_contact_link_collision.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HL_foot_contact_link_collision.STL,,SK01-HL-P28-1,HL-Link5 Coordinate,HL-J5,HL_foot_contact_joint,fixed,0.025353,0,-0.14378,0,0,0,HL_foot_link_collision,0,0,0,,,,,,,,,,,,
HR_hip_link_collision,0.044964,-0.03664,4.8852E-05,0,0,0,1.4,0.00055198,-2.2357E-06,-2.7997E-09,0.00081827,-1.4339E-09,0.00046473,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_hip_link_collision.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_hip_link_collision.STL,,SK01-HL-A20-1,HR-Link1 Coordinate,HR-J1,HR_hip_joint,revolute,-0.225,-0.0225,0,0,0,0,base_collision,1,0,0,84,29.6,-0.26,0.26,,,,,,,,
HR_thigh_link_collision,0.054189,-0.00033953,-0.079013,0,0,0,3.3,0.0058914,-3.3709E-06,0.002518,0.0094645,2.8196E-06,0.0037534,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_thigh_link_collision.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_thigh_link_collision.STL,,SK01-HL-A30-2,HR-Link2 Coordinate,HR-J2,HR_thigh_joint,revolute,0,-0.115,0,0,0,0,HR_hip_link_collision,0,-1,0,84,29.6,-1.13,2.36,,,,,,,,
HR_calf_link_collision,-0.0754840034879088,-0.00011325166852158,-0.0672662775662087,0,0,0,0.652069859285251,0.00111501202259358,5.28130053091745E-10,-0.00116384111971171,0.00267926994034874,8.19537489075703E-11,0.00159556708773755,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_calf_link_collision.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_calf_link_collision.STL,,SK01-HL-A40-M-1,HR-Link3 Coordinate,HR-J3,HR_calf_joint,revolute,0.13192,0,-0.1884,0,0,0,HR_thigh_link_collision,0,-1,0,126,19.7,-1.04,0.87,,,,,,,,
HR_foot_link_collision,0.010747577038718,-1.39399602971935E-12,-0.0609525382065738,0,0,0,0.204919230779423,0.00027164500398512,-1.07641306161079E-10,4.25116726987773E-05,0.000305655453466352,-1.89643532356437E-11,3.80452824910715E-05,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_foot_link_collision.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_foot_link_collision.STL,,SK01-HL-A50-2,HR-Link4 Coordinate,HR-J4,HR_foot_joint,revolute,-0.18768,0,-0.15748,0,0,0,HR_calf_link_collision,0,-1,0,100.8,14.8,-1.48,0.44,,,,,,,,
HR_foot_contact_link_collision,0.00167426650680264,-8.03430658113946E-09,-0.00949523507375377,0,0,0,0.0420009133858077,1.23353171986872E-05,-6.129609685114E-12,-7.26316934110675E-07,1.66282448362724E-05,-7.88503293176131E-13,1.63264009716354E-05,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_foot_contact_link_collision.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://03_Leg_UFDF_Colision_260617_2/meshes/HR_foot_contact_link_collision.STL,,SK01-HL-P28-2,HR-Link5 Coordinate,HR-J5,HR_foot_contact_joint,fixed,0.025353,0,-0.14378,0,0,0,HR_foot_link_collision,0,0,0,,,,,,,,,,,,
