t,q0,dq0,tau0,cmd0,q1,dq1,tau1,cmd1,q2,dq2,tau2,cmd2,q3,dq3,tau3,cmd3,q4,dq4,tau4,cmd4,q5,dq5,tau5,cmd5,q6,dq6,tau6,cmd6,q7,dq7,tau7,cmd7,q8,dq8,tau8,cmd8,q9,dq9,tau9,cmd9
0.0000,2.219,0.7,-4.957,-0.630,2.328,0.5,1.486,4.012,28.734,-2.2,5.594,32.739,97.750,-2.7,-0.165,97.398,-1.497,-1.7,4.488,1.060,-4.617,1.6,-1.505,-6.332,-44.906,1.1,-4.945,-48.469,-100.688,-2.0,0.291,-100.068,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0043,2.215,-0.9,-4.902,2.219,2.322,-1.9,1.488,2.328,28.734,-2.1,5.520,28.734,97.750,-1.2,-0.245,97.750,-1.497,-1.8,4.355,-1.497,-4.609,3.5,-1.598,-4.617,-44.906,1.8,-4.988,-44.906,-100.688,-2.5,0.303,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0055,2.219,0.9,-4.895,2.215,2.326,-0.3,1.472,2.322,28.750,2.8,5.676,28.734,97.750,3.9,-0.161,97.750,-1.490,0.7,4.383,-1.497,-4.617,0.0,-1.549,-4.609,-44.906,2.6,-5.105,-44.906,-100.625,2.2,0.350,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0067,2.215,-0.4,-4.969,2.219,2.322,-2.7,1.259,2.326,28.750,-0.2,5.629,28.750,97.750,-2.0,-0.200,97.750,-1.490,1.7,4.629,-1.490,-4.617,0.8,-1.437,-4.617,-44.906,-0.2,-5.016,-44.906,-100.688,-1.1,0.287,-100.625,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0080,2.225,3.3,-4.980,2.215,2.332,2.4,1.500,2.322,28.750,-0.7,5.574,28.750,97.750,0.7,-0.184,97.750,-1.497,-1.3,4.445,-1.490,-4.621,-1.1,-1.432,-4.617,-44.906,-0.8,-4.883,-44.906,-100.688,-2.5,0.317,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0100,2.213,-2.2,-4.766,2.225,2.334,3.6,1.460,2.332,28.734,-1.8,5.457,28.750,97.750,3.4,-0.209,97.750,-1.494,0.2,3.865,-1.497,-4.621,0.5,-0.853,-4.621,-44.906,1.1,-2.066,-44.906,-100.625,3.5,0.282,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0120,2.234,7.7,-0.764,2.213,2.328,1.2,0.487,2.334,28.734,-3.5,0.770,28.734,97.750,-1.7,-0.085,97.750,-1.503,-2.4,0.704,-1.494,-4.605,5.6,-0.266,-4.621,-44.875,3.8,-0.738,-44.906,-100.688,-2.4,0.048,-100.625,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0140,2.240,8.8,-0.889,2.234,2.318,-2.3,0.361,2.328,28.703,-12.1,0.884,28.734,97.750,1.1,-0.021,97.750,-1.516,-6.1,0.875,-1.503,-4.613,0.9,-0.331,-4.605,-44.844,15.5,-0.829,-44.875,-100.688,-2.2,0.033,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0162,2.271,13.5,-1.507,2.240,2.312,-3.1,0.340,2.318,28.641,-24.1,1.560,28.703,97.750,1.9,0.032,97.750,-1.554,-13.1,1.571,-1.516,-4.590,6.5,-0.530,-4.613,-44.812,21.9,-1.540,-44.844,-100.625,2.3,0.038,-100.688,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0183,2.342,21.2,-2.217,2.271,2.285,-7.8,0.550,2.312,28.531,-38.9,2.539,28.641,97.750,2.1,0.025,97.750,-1.642,-23.1,2.848,-1.554,-4.570,6.3,-0.666,-4.590,-44.688,37.6,-2.320,-44.812,-100.688,-2.7,0.048,-100.625,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
