t,q0,dq0,tau0,cur0,cmd0,q1,dq1,tau1,cur1,cmd1,q2,dq2,tau2,cur2,cmd2,q3,dq3,tau3,cur3,cmd3,q4,dq4,tau4,cur4,cmd4,q5,dq5,tau5,cur5,cmd5,q6,dq6,tau6,cur6,cmd6,q7,dq7,tau7,cur7,cmd7,q8,dq8,tau8,cur8,cmd8,q9,dq9,tau9,cur9,cmd9
3068.0382,1.811,24.2,-4.422,-4.422,-0.630,1.785,36.9,-0.622,-0.622,4.012,26.797,5.7,4.555,4.555,32.739,93.750,15.0,-1.711,-1.711,97.398,0.722,-21.5,4.910,4.910,1.060,-12.266,5.0,-2.598,-2.598,-6.332,-49.844,-19.7,-6.777,-6.777,-48.469,-106.875,0.1,6.406,6.406,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0402,1.813,11.8,-3.176,-3.176,-0.630,1.798,15.5,1.471,1.471,4.012,26.828,10.6,5.660,5.660,32.739,93.750,9.9,-2.990,-2.990,97.398,0.722,-6.3,4.254,4.254,1.060,-12.242,10.7,-2.617,-2.617,-6.332,-49.906,-22.8,-6.941,-6.941,-48.469,-106.875,9.9,6.938,6.938,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0422,1.776,-7.2,-2.918,-2.918,-0.630,1.789,1.7,2.459,2.459,4.012,26.844,13.7,6.293,6.293,32.739,93.750,5.5,-3.549,-3.549,97.398,0.734,1.2,2.617,2.617,1.060,-12.195,16.4,-3.232,-3.232,-6.332,-49.938,-20.4,-7.621,-7.621,-48.469,-106.812,21.4,7.000,7.000,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0442,1.732,-17.9,-1.130,-1.130,-0.630,1.767,-6.1,2.891,2.891,4.012,26.891,17.3,6.117,6.117,32.739,93.750,-2.2,-3.264,-3.264,97.398,0.753,5.7,1.693,1.693,1.060,-12.156,19.2,-3.877,-3.877,-6.332,-49.969,-13.6,-9.172,-9.172,-48.469,-106.688,39.6,7.082,7.082,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0462,1.694,-17.7,0.416,0.416,-0.630,1.729,-12.6,3.082,3.082,4.012,26.922,20.5,5.051,5.051,32.739,93.750,-8.2,-2.355,-2.355,97.398,0.778,8.5,1.275,1.275,1.060,-12.109,21.0,-4.457,-4.457,-6.332,-50.000,-14.5,-11.039,-11.039,-48.469,-106.625,46.8,6.965,6.965,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0482,1.647,-20.4,1.077,1.077,-0.630,1.686,-18.7,3.188,3.188,4.012,26.938,11.2,4.453,4.453,32.739,93.688,-15.7,-1.545,-1.545,97.398,0.794,6.3,0.471,0.471,1.060,-12.102,13.6,-4.391,-4.391,-6.332,-50.031,-14.2,-11.414,-11.414,-48.469,-106.500,55.2,6.473,6.473,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0502,1.632,-10.8,1.787,1.787,-0.630,1.673,-11.9,3.205,3.205,4.012,26.953,5.9,4.598,4.598,32.739,93.625,-15.6,-1.203,-1.203,97.398,0.807,5.9,0.240,0.240,1.060,-12.094,8.2,-4.766,-4.766,-6.332,-50.062,-17.0,-11.398,-11.398,-48.469,-106.312,62.1,5.832,5.832,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0522,1.622,-5.5,1.870,1.870,-0.630,1.650,-11.0,2.910,2.910,4.012,26.938,-4.2,4.184,4.184,32.739,93.625,-12.3,-0.548,-0.548,97.398,0.794,-2.2,1.762,1.762,1.060,-12.094,2.7,-5.570,-5.570,-6.332,-50.094,-15.1,-12.078,-12.078,-48.469,-106.188,73.2,5.707,5.707,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0544,1.647,7.2,-0.312,-0.312,-0.630,1.635,-9.9,2.250,2.250,4.012,26.922,-7.8,4.230,4.230,32.739,93.625,-10.6,-0.146,-0.146,97.398,0.794,-1.7,3.340,3.340,1.060,-12.094,-0.4,-5.875,-5.875,-6.332,-50.125,-13.1,-12.414,-12.414,-48.469,-106.062,71.2,5.512,5.512,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
3068.0564,1.660,9.0,-1.719,-1.719,-0.630,1.622,-7.9,1.775,1.775,4.012,26.891,-13.1,4.398,4.398,32.739,93.562,-6.1,0.431,0.431,97.398,0.803,1.9,7.230,7.230,1.060,-12.102,-3.3,-7.105,-7.105,-6.332,-50.156,-15.8,-12.859,-12.859,-48.469,-105.875,77.5,5.621,5.621,-100.068,0.000,0.0,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.000
