t,pct,split,q0,q1,q2,q3,q4,q5,q6,q7,cmd0,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,cmd7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ff0,ff1,ff2,ff3,ff4,ff5,ff6,ff7,aux0,aux1,aux2,aux3,aux4,aux5,aux6,aux7
4450.193,5.0,50.0,2.828,7.918,33.312,96.812,-2.311,-9.852,-49.094,-99.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.828,-3.100,-0.405,-0.352,5.723,2.582,0.487,0.170,-0.134,0.408,0.082,0.572,0.135,0.422,0.090,0.572,4.570,4.109,34.219,97.188,-0.439,-7.602,-47.406,-100.000
4450.293,6.0,50.0,2.818,7.926,33.281,96.375,-2.311,-9.859,-49.094,-99.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.859,-3.041,-0.455,-0.298,5.777,2.545,0.452,0.417,-0.161,0.488,0.098,0.686,0.161,0.505,0.107,0.686,3.932,4.109,33.906,95.938,-1.538,-7.621,-47.562,-99.438
4450.395,7.0,50.0,2.836,7.922,33.312,96.250,-2.311,-9.875,-49.094,-99.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.852,-2.930,-0.345,-0.395,5.727,2.578,0.403,0.449,-0.188,0.571,0.115,0.802,0.188,0.590,0.125,0.802,3.449,4.395,34.656,96.375,-0.835,-7.621,-47.500,-99.312
4450.495,8.0,50.0,2.824,7.926,33.312,96.000,-2.316,-9.875,-49.094,-98.875,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.891,-2.795,-0.285,-0.102,5.293,2.393,0.372,0.276,-0.215,0.652,0.131,0.915,0.215,0.674,0.142,0.916,3.865,4.699,33.312,95.812,-1.604,-7.645,-47.562,-98.875
4450.597,9.1,50.0,2.824,7.930,33.312,95.812,-2.312,-9.883,-49.125,-98.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.859,-2.633,-0.232,-0.366,5.672,2.395,0.305,0.382,-0.242,0.734,0.147,1.031,0.242,0.759,0.160,1.032,3.537,5.316,33.625,96.375,-1.099,-7.887,-47.438,-99.062
4450.708,10.0,50.0,2.830,7.934,33.312,95.750,-2.311,-9.883,-49.125,-98.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.785,-2.775,-0.214,-0.354,5.586,2.230,0.371,0.452,-0.266,0.808,0.162,1.136,0.267,0.836,0.177,1.137,3.383,4.504,34.062,95.500,-0.439,-7.621,-47.281,-98.438
4450.809,11.2,50.0,2.824,7.941,33.344,95.625,-2.307,-9.898,-49.125,-98.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.781,-2.566,-0.055,-0.368,5.648,2.213,0.218,0.429,-0.298,0.906,0.181,1.272,0.299,0.936,0.197,1.273,3.734,3.910,33.781,95.812,-0.110,-7.711,-47.250,-98.625
4450.909,12.2,50.0,2.836,7.949,33.344,95.188,-2.312,-9.914,-49.125,-98.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.723,-2.553,-0.025,-0.191,5.707,2.117,0.066,0.228,-0.323,0.985,0.196,1.385,0.325,1.018,0.213,1.386,3.844,4.172,32.594,95.062,-1.099,-7.688,-47.281,-98.000
4451.009,13.2,50.0,2.834,7.949,33.344,95.188,-2.316,-9.938,-49.156,-97.688,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.652,-2.350,-0.012,-0.371,5.699,2.064,0.130,0.171,-0.350,1.066,0.212,1.498,0.350,1.099,0.229,1.499,4.129,4.172,33.781,94.750,-1.164,-7.668,-47.219,-97.562
4451.111,14.2,50.0,2.834,7.961,33.375,95.125,-2.318,-9.961,-49.156,-97.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.730,-2.322,0.033,-0.454,5.570,1.982,0.099,0.286,-0.377,1.148,0.229,1.614,0.377,1.182,0.245,1.614,3.625,3.998,33.312,95.750,-0.966,-7.535,-47.312,-97.438
