t,q0,q1,q2,q3,q4,q5,q6,q7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7
0.0,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.629,0.056,-6.667,4.355,-4.801,0.092,-5.927,5.991,-0.93,-2.27,-0.22,-1.41,2.05,-2.35,2.99,-5.54
0.051,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.895,0.128,-6.758,4.275,-4.98,0.048,-5.755,6.028,-2.02,1.72,-0.74,-2.36,-0.98,3.14,-0.5,2.03
0.102,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.547,0.194,-6.718,4.315,-4.859,0.049,-5.852,5.972,0.91,0.21,1.79,-1.93,1.94,4.71,-0.18,1.57
0.152,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.633,0.273,-6.708,4.378,-4.762,0.029,-5.855,5.981,-0.18,-2.21,1.8,-1.74,0.22,0.46,0.72,-0.54
0.203,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.895,0.327,-6.669,4.329,-4.695,-0.1,-5.748,6.117,0.26,1.36,0.22,-1.15,-2.01,-0.03,0.22,-0.8
0.254,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.582,0.195,-6.766,4.366,-4.68,0.062,-5.728,6.061,1.15,-1.96,0.44,-1.72,1.5,-1.12,-1.07,-1.37
0.304,-1.37,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.633,0.16,-6.714,4.296,-4.871,0.023,-6.043,5.869,-3.25,-1.17,-0.75,0.43,0.46,-2.37,1.69,-5.16
0.355,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.473,0.164,-6.764,4.205,-4.777,-0.022,-5.842,6.0,0.51,2.24,-1.67,4.17,0.22,0.8,0.61,-1.46
0.405,-1.36,3.55,-22.12,-64.41,1.38,3.66,-22.0,-65.64,4.668,0.317,-6.601,4.303,-5.047,0.059,-5.691,6.122,-0.97,-4.22,-0.28,2.39,5.63,-1.14,0.79,0.87
0.456,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.104,-6.816,4.259,-4.855,0.026,-5.665,6.066,2.46,-1.44,0.61,-3.28,-1.83,0.91,-0.98,2.0
0.507,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.805,0.21,-6.607,4.291,-4.715,-0.054,-5.875,5.991,2.49,-3.49,0.53,0.74,0.35,4.38,-1.46,2.77
0.557,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.93,0.214,-6.776,4.334,-4.484,0.012,-5.551,5.986,-2.99,3.19,-0.93,1.03,-0.62,-1.58,-2.48,2.46
0.607,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.594,0.203,-6.639,4.441,-4.656,0.1,-5.77,6.042,0.56,-1.07,1.58,-3.98,0.23,-1.0,2.78,-2.96
0.658,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.812,0.326,-6.734,4.388,-4.68,0.049,-5.673,6.145,0.69,-0.32,-0.58,2.11,-1.27,0.82,1.14,1.2
0.709,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.652,0.209,-6.638,4.355,-4.734,0.19,-5.852,6.019,0.85,-2.72,0.53,0.9,-6.92,2.12,-1.69,1.9
0.759,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.637,0.209,-6.615,4.301,-4.656,0.066,-5.616,6.103,1.09,2.29,0.44,-1.33,-2.21,-2.04,2.13,-2.67
0.809,-1.36,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.691,0.102,-6.759,4.233,-4.656,-0.038,-5.882,6.112,-2.6,1.67,-3.51,5.37,0.01,-1.6,-1.34,4.31
0.86,-1.37,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.629,0.28,-6.48,4.348,-4.691,0.04,-5.637,6.047,-2.87,-1.91,-1.14,3.14,-4.91,0.32,-0.87,-2.53
0.91,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.879,0.085,-6.867,4.312,-4.598,0.034,-5.79,5.981,-0.09,0.98,-2.0,2.04,-1.2,2.58,-2.45,4.5
0.961,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.723,0.129,-6.763,4.364,-4.547,0.052,-6.094,6.023,-1.28,-1.05,0.42,-2.04,-5.88,0.69,0.72,-2.05
1.011,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.707,0.274,-6.598,4.289,-4.723,-0.003,-5.87,5.902,1.48,-2.44,1.07,-1.1,-2.58,-2.98,0.31,1.43
1.062,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.48,0.215,-6.63,4.397,-4.621,0.061,-5.991,5.892,0.7,1.05,-0.66,1.89,2.86,-1.36,-0.28,0.11
1.112,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.539,0.207,-6.887,4.24,-4.812,0.125,-5.804,5.944,0.54,-1.03,-0.52,1.08,-1.56,-0.92,-2.04,4.53
1.163,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.641,0.3,-6.832,4.266,-4.707,0.073,-5.539,5.962,-2.04,2.75,1.11,-6.02,-5.39,0.13,1.42,0.81
1.213,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.918,0.24,-6.777,4.409,-4.875,-0.025,-5.756,6.056,-0.3,-2.31,-1.78,0.26,0.89,-1.23,1.64,-0.01
1.264,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.906,0.17,-6.932,4.23,-4.781,-0.04,-5.636,6.042,1.01,2.15,-0.38,-1.19,-1.19,1.41,1.0,0.6
1.314,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.492,0.251,-6.881,4.322,-4.637,0.015,-5.873,5.986,2.28,-2.29,1.32,-2.62,-0.07,0.55,0.88,-1.66
1.365,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.574,0.195,-6.86,4.378,-4.652,0.047,-5.75,6.08,2.33,-2.15,0.28,0.58,0.71,-0.88,-0.04,1.13
1.416,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.605,0.256,-6.676,4.345,-4.84,0.116,-5.896,5.911,-1.57,-0.97,-1.47,2.57,-5.25,-0.61,1.71,-3.02
