t,pct,split,q0,q1,q2,q3,q4,q5,q6,q7,cmd0,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,cmd7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ff0,ff1,ff2,ff3,ff4,ff5,ff6,ff7
340.179,5.0,50.0,2.809,7.562,33.500,96.000,-2.334,-9.781,-48.969,-98.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.910,-2.832,-0.770,0.037,6.012,2.711,0.431,-0.359,-0.072,0.343,0.081,0.488,0.072,0.345,0.080,0.487
340.280,6.0,50.0,2.812,7.562,33.500,96.000,-2.322,-9.766,-48.969,-98.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.953,-2.682,-0.679,-0.070,5.887,2.584,0.440,-0.286,-0.087,0.411,0.097,0.585,0.086,0.414,0.096,0.584
340.381,7.0,50.0,2.812,7.574,33.531,95.938,-2.328,-9.781,-48.969,-98.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-6.059,-2.664,-0.641,-0.077,5.973,2.525,0.182,-0.238,-0.101,0.480,0.114,0.684,0.101,0.484,0.112,0.683
340.481,8.0,50.0,2.820,7.574,33.500,95.938,-2.326,-9.766,-48.969,-98.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.918,-2.527,-0.674,-0.152,5.703,2.494,0.332,-0.157,-0.115,0.548,0.130,0.781,0.115,0.553,0.128,0.780
340.583,9.1,50.0,2.814,7.582,33.531,95.875,-2.322,-9.789,-48.969,-98.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.871,-2.498,-0.608,-0.273,5.992,2.404,0.224,-0.070,-0.130,0.618,0.146,0.880,0.130,0.623,0.144,0.879
340.685,10.1,50.0,2.814,7.590,33.500,95.875,-2.338,-9.789,-48.969,-97.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.887,-2.455,-0.434,-0.321,6.090,2.408,0.125,-0.002,-0.145,0.687,0.162,0.979,0.144,0.693,0.160,0.978
340.787,11.1,50.0,2.814,7.598,33.531,95.812,-2.338,-9.805,-48.969,-97.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-6.000,-2.447,-0.536,-0.371,5.703,2.166,0.030,0.034,-0.159,0.756,0.179,1.078,0.158,0.762,0.175,1.077
340.889,12.1,50.0,2.812,7.598,33.531,95.688,-2.328,-9.805,-48.969,-97.875,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.883,-2.252,-0.482,-0.297,5.816,2.131,0.071,0.042,-0.174,0.825,0.195,1.177,0.173,0.832,0.191,1.176
340.989,13.1,50.0,2.820,7.605,33.531,95.438,-2.326,-9.820,-48.969,-97.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-6.004,-2.352,-0.338,-0.231,5.867,2.148,0.096,0.166,-0.188,0.893,0.210,1.273,0.188,0.899,0.206,1.273
341.089,14.1,50.0,2.812,7.605,33.562,95.375,-2.332,-9.828,-49.000,-97.688,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.688,-2.174,-0.378,-0.405,5.648,2.201,-0.046,0.089,-0.202,0.961,0.227,1.370,0.202,0.968,0.222,1.370
