t,q0,dq0,tau0,cmd0,kp0,kd0,q1,dq1,tau1,cmd1,kp1,kd1,q2,dq2,tau2,cmd2,kp2,kd2,q3,dq3,tau3,cmd3,kp3,kd3,q4,dq4,tau4,cmd4,kp4,kd4,q5,dq5,tau5,cmd5,kp5,kd5,q6,dq6,tau6,cmd6,kp6,kd6,q7,dq7,tau7,cmd7,kp7,kd7,q8,dq8,tau8,cmd8,kp8,kd8,q9,dq9,tau9,cmd9,kp9,kd9
0.0000,11.602,-1.0,-0.022,11.602,100.00,6.00,37.688,-1.1,-0.013,37.688,50.00,4.00,72.438,-2.9,-0.007,72.438,80.00,3.50,81.625,0.9,0.012,81.625,30.00,2.00,-16.141,2.9,0.018,-16.141,100.00,6.00,-37.000,3.1,-0.002,-37.000,50.00,4.00,-78.812,-2.6,-0.004,-78.812,80.00,3.50,-85.062,-2.7,-0.015,-85.062,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0022,11.602,0.3,0.013,11.602,100.00,6.00,37.688,1.8,0.011,37.688,50.00,4.00,72.438,0.8,-0.015,72.438,80.00,3.50,81.625,-1.4,0.006,81.625,30.00,2.00,-16.141,4.5,0.005,-16.141,100.00,6.00,-37.000,0.0,-0.025,-37.000,50.00,4.00,-78.812,-0.6,0.025,-78.812,80.00,3.50,-85.062,-2.6,-0.029,-85.062,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0040,11.602,-0.1,0.026,11.602,100.00,6.00,37.688,2.6,0.022,37.687,50.00,4.00,72.438,-0.5,0.011,72.438,80.00,3.50,81.625,-0.9,-0.001,81.625,30.00,2.00,-16.141,3.9,-0.048,-16.141,100.00,6.00,-37.000,-2.8,-0.001,-37.000,50.00,4.00,-78.812,-1.5,0.057,-78.812,80.00,3.50,-85.062,-2.4,0.005,-85.062,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0060,11.609,1.2,-0.019,11.602,100.00,6.00,37.688,7.3,0.065,37.687,50.00,4.00,72.438,-1.6,0.014,72.437,80.00,3.50,81.625,-2.6,0.026,81.625,30.00,2.00,-16.156,-1.6,0.030,-16.141,100.00,6.00,-37.000,1.1,-0.047,-37.000,50.00,4.00,-78.812,-1.0,-0.033,-78.812,80.00,3.50,-85.000,-1.0,-0.008,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0080,11.602,0.5,0.004,11.602,100.00,6.00,37.688,-1.7,-0.024,37.687,50.00,4.00,72.438,4.3,-0.086,72.437,80.00,3.50,81.688,1.8,-0.022,81.625,30.00,2.00,-16.156,-0.5,-0.231,-16.141,100.00,6.00,-37.000,3.6,-0.015,-37.000,50.00,4.00,-78.812,0.7,0.000,-78.812,80.00,3.50,-85.062,-3.8,-0.025,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0100,11.609,1.7,-0.030,11.602,100.00,6.00,37.688,-1.7,-0.031,37.687,50.00,4.00,72.438,-1.0,0.032,72.437,80.00,3.50,81.625,0.1,-0.026,81.625,30.00,2.00,-16.156,-1.7,-0.055,-16.141,100.00,6.00,-37.000,1.0,-0.061,-37.000,50.00,4.00,-78.812,0.4,-0.090,-78.812,80.00,3.50,-85.000,3.3,-0.001,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0120,11.602,-2.3,0.070,11.602,100.00,6.00,37.688,3.9,-0.000,37.687,50.00,4.00,72.438,3.6,0.043,72.437,80.00,3.50,81.625,-3.0,-0.016,81.625,30.00,2.00,-16.141,2.7,-0.064,-16.141,100.00,6.00,-37.000,-0.3,0.031,-37.000,50.00,4.00,-78.812,1.3,-0.101,-78.812,80.00,3.50,-85.000,-1.5,-0.020,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0140,11.602,-2.1,0.071,11.602,100.00,6.00,37.688,-0.3,-0.032,37.687,50.00,4.00,72.438,0.5,0.036,72.437,80.00,3.50,81.625,-0.9,-0.016,81.625,30.00,2.00,-16.141,2.4,0.048,-16.141,100.00,6.00,-37.000,-0.6,0.044,-37.000,50.00,4.00,-78.812,-0.2,0.011,-78.812,80.00,3.50,-85.000,4.5,-0.002,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0160,11.602,-2.1,0.036,11.601,100.00,6.00,37.688,0.0,0.004,37.687,50.00,4.00,72.438,-0.7,-0.025,72.437,80.00,3.50,81.625,-2.6,-0.042,81.625,30.00,2.00,-16.156,-0.9,-0.006,-16.141,100.00,6.00,-36.969,6.2,-0.077,-37.000,50.00,4.00,-78.812,2.1,0.023,-78.812,80.00,3.50,-85.000,-1.4,-0.052,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0180,11.594,-4.1,-0.174,11.601,100.00,6.00,37.688,0.3,-0.132,37.687,50.00,4.00,72.438,-0.9,-0.122,72.437,80.00,3.50,81.625,-2.1,0.003,81.625,30.00,2.00,-16.141,3.3,-0.008,-16.140,100.00,6.00,-37.000,-2.9,0.001,-37.000,50.00,4.00,-78.812,-2.7,-0.011,-78.812,80.00,3.50,-85.000,1.7,-0.023,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0200,11.602,-0.9,0.049,11.601,100.00,6.00,37.688,-6.0,-0.024,37.687,50.00,4.00,72.438,1.2,0.056,72.437,80.00,3.50,81.625,-0.5,-0.029,81.625,30.00,2.00,-16.156,-2.4,-0.005,-16.140,100.00,6.00,-37.000,0.8,0.098,-37.000,50.00,4.00,-78.812,2.1,-0.030,-78.812,80.00,3.50,-85.062,-3.5,0.079,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0220,11.602,-0.2,-0.138,11.601,100.00,6.00,37.688,-2.6,-0.016,37.687,50.00,4.00,72.438,-2.4,-0.018,72.437,80.00,3.50,81.688,2.0,-0.031,81.625,30.00,2.00,-16.156,-1.9,0.008,-16.140,100.00,6.00,-37.000,1.6,-0.019,-37.000,50.00,4.00,-78.812,0.6,-0.037,-78.812,80.00,3.50,-85.000,4.5,0.023,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0240,11.609,2.2,0.000,11.601,100.00,6.00,37.688,-0.8,-0.003,37.687,50.00,4.00,72.438,-1.2,-0.035,72.437,80.00,3.50,81.688,1.3,0.013,81.625,30.00,2.00,-16.156,-0.9,-0.020,-16.140,100.00,6.00,-37.000,-3.3,-0.025,-36.999,50.00,4.00,-78.812,-0.3,-0.084,-78.812,80.00,3.50,-85.000,-1.0,-0.011,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
