t,q0,dq0,tau0,cmd0,q1,dq1,tau1,cmd1,q2,dq2,tau2,cmd2,q3,dq3,tau3,cmd3,q4,dq4,tau4,cmd4,q5,dq5,tau5,cmd5,q6,dq6,tau6,cmd6,q7,dq7,tau7,cmd7,q8,dq8,tau8,cmd8,q9,dq9,tau9,cmd9
0.0000,2.639,3.9,-5.680,-0.630,4.414,0.9,-0.313,4.012,28.688,-1.8,5.609,32.739,97.062,-0.2,0.132,97.398,-1.930,3.2,5.258,1.060,-6.371,1.1,-0.013,-6.332,-44.875,0.7,-4.988,-48.469,-99.875,2.5,-0.081,-100.068,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0045,2.633,0.1,-5.680,2.639,4.410,-0.7,-0.263,4.414,28.688,0.2,5.684,28.688,97.062,0.9,0.179,97.062,-1.939,-2.2,5.172,-1.930,-6.367,2.7,-0.003,-6.371,-44.875,-0.3,-4.996,-44.875,-99.875,1.6,-0.065,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0064,2.633,-0.5,-5.797,2.633,4.406,-3.2,-0.430,4.410,28.688,0.9,5.637,28.688,97.062,-1.0,0.146,97.062,-1.939,-1.1,5.410,-1.939,-6.371,2.2,0.105,-6.367,-44.875,0.0,-4.961,-44.875,-99.875,4.5,-0.078,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0084,2.627,-2.8,-5.594,2.633,4.402,-4.7,-0.375,4.406,28.688,-1.8,5.699,28.688,97.062,-2.2,0.188,97.062,-1.933,2.3,5.348,-1.939,-6.375,0.4,-0.005,-6.371,-44.875,-1.5,-5.008,-44.875,-99.875,1.2,-0.138,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0094,2.629,-1.4,-5.734,2.627,4.418,3.4,-0.248,4.402,28.688,1.5,5.719,28.688,97.062,-2.2,0.161,97.062,-1.945,-3.9,5.137,-1.933,-6.375,0.6,0.062,-6.375,-44.875,0.9,-4.934,-44.875,-99.875,-1.2,-0.039,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0103,2.637,2.4,-5.531,2.629,4.398,-5.8,-0.326,4.418,28.688,0.0,5.672,28.688,97.062,-3.0,0.172,97.062,-1.937,0.1,5.121,-1.945,-6.375,-0.4,-0.038,-6.375,-44.875,3.5,-5.016,-44.875,-99.875,-1.1,-0.117,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0120,2.627,-3.2,-1.342,2.637,4.418,4.5,-0.201,4.398,28.672,-2.1,0.751,28.688,97.062,1.0,0.019,97.062,-1.939,-1.2,0.675,-1.937,-6.367,2.0,-0.039,-6.375,-44.875,2.8,-0.707,-44.875,-99.875,0.8,-0.076,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0142,2.686,16.2,-1.394,2.627,4.414,2.6,0.017,4.418,28.594,-23.3,1.397,28.672,97.062,-2.2,0.011,97.062,-2.002,-16.8,1.749,-1.939,-6.367,2.7,0.012,-6.367,-44.812,16.5,-1.262,-44.875,-99.875,-1.0,-0.013,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0161,2.709,18.0,-2.143,2.686,4.406,-2.1,0.004,4.414,28.578,-26.0,1.684,28.594,97.062,-0.5,0.049,97.062,-2.033,-23.2,2.066,-2.002,-6.375,-1.3,0.045,-6.367,-44.781,22.4,-1.654,-44.812,-99.875,-2.2,0.010,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0181,2.758,21.6,-2.686,2.709,4.414,0.7,-0.047,4.406,28.484,-39.5,2.434,28.578,97.062,2.0,0.023,97.062,-2.086,-25.0,2.969,-2.033,-6.363,3.7,-0.092,-6.375,-44.719,30.9,-2.201,-44.781,-99.875,3.3,0.004,-99.875,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
