t,q0,dq0,tau0,cmd0,q1,dq1,tau1,cmd1,q2,dq2,tau2,cmd2,q3,dq3,tau3,cmd3,q4,dq4,tau4,cmd4,q5,dq5,tau5,cmd5,q6,dq6,tau6,cmd6,q7,dq7,tau7,cmd7,q8,dq8,tau8,cmd8,q9,dq9,tau9,cmd9
0.0000,1.531,-0.3,-3.848,-0.630,4.691,6.0,-0.562,4.012,26.844,0.5,8.336,32.739,98.312,0.9,-0.498,97.398,-1.387,-1.1,4.121,1.060,-7.043,-0.0,0.600,-6.332,-43.031,-3.5,-7.535,-48.469,-102.062,-2.8,1.002,-100.068,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0498,1.528,-1.2,-3.594,1.531,4.672,-3.2,-0.567,4.691,26.828,-0.6,8.297,26.844,98.375,2.1,-0.485,98.312,-1.381,2.1,4.000,-1.387,-7.039,-0.0,0.557,-7.043,-43.031,-2.4,-7.617,-43.031,-102.000,-1.0,1.076,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0518,1.541,3.3,-3.924,1.528,4.676,-1.6,-0.593,4.672,26.844,1.0,8.219,26.828,98.375,2.2,-0.524,98.375,-1.381,2.9,4.129,-1.381,-7.043,-1.4,0.677,-7.039,-43.031,-3.2,-7.617,-43.031,-102.062,-1.8,1.045,-102.000,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0538,1.528,-1.9,-3.643,1.541,4.684,1.7,-0.604,4.676,26.844,1.6,8.227,26.844,98.312,-0.6,-0.540,98.375,-1.384,1.6,4.457,-1.381,-7.047,-3.5,0.676,-7.043,-43.031,-1.1,-7.559,-43.031,-102.062,-3.4,1.040,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0558,1.534,1.1,-3.617,1.528,4.676,-1.1,-0.587,4.684,26.828,-2.5,8.133,26.844,98.375,3.6,-0.513,98.312,-1.384,1.5,4.219,-1.384,-7.043,-0.9,0.604,-7.047,-43.031,-0.1,-7.574,-43.031,-102.000,2.7,0.988,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0578,1.528,-2.0,-2.740,1.534,4.680,-0.7,-0.267,4.676,26.812,-6.4,1.052,26.828,98.312,1.2,-0.114,98.375,-1.387,-0.2,0.772,-1.384,-7.035,2.7,0.178,-7.043,-43.031,5.7,-0.750,-43.031,-102.062,-2.0,0.151,-102.000,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0598,1.550,7.0,-0.670,1.528,4.680,-1.1,-0.082,4.680,26.766,-21.7,1.430,26.812,98.312,0.0,-0.104,98.312,-1.412,-7.9,1.020,-1.387,-7.047,-2.0,0.016,-7.035,-43.000,15.0,-1.108,-43.031,-102.062,-2.1,0.166,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0618,1.575,12.6,-1.031,1.550,4.695,6.2,-0.028,4.680,26.672,-35.4,2.330,26.766,98.312,-0.8,-0.101,98.312,-1.440,-11.0,1.529,-1.412,-7.047,-0.2,0.147,-7.047,-42.906,27.6,-1.986,-43.000,-102.062,-7.4,0.177,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0638,1.610,16.2,-1.720,1.575,4.691,2.8,-0.043,4.695,26.578,-45.6,3.271,26.672,98.375,2.2,-0.120,98.312,-1.500,-21.9,2.246,-1.440,-7.055,-3.4,0.125,-7.047,-42.844,37.2,-2.748,-42.906,-102.062,-6.7,0.274,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0658,1.650,18.7,-2.113,1.610,4.699,4.4,-0.234,4.691,26.469,-49.8,3.752,26.578,98.375,-1.5,-0.128,98.375,-1.554,-26.2,2.598,-1.500,-7.062,-5.6,0.183,-7.055,-42.719,42.4,-3.338,-42.844,-102.062,-6.1,0.370,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0678,1.688,18.2,-2.168,1.650,4.711,5.5,-0.228,4.699,26.344,-57.5,4.113,26.469,98.375,0.9,-0.106,98.375,-1.601,-26.1,2.873,-1.554,-7.078,-8.7,0.168,-7.062,-42.625,52.5,-3.791,-42.719,-102.125,-10.9,0.332,-102.062,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0704,1.710,19.3,-2.324,1.688,4.715,4.8,-0.283,4.711,26.266,-62.9,4.375,26.344,98.375,1.2,-0.124,98.375,-1.619,-22.8,3.131,-1.601,-7.062,0.8,0.255,-7.078,-42.562,52.0,-3.963,-42.625,-102.125,-6.4,0.362,-102.125,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
0.0727,1.782,18.7,-2.186,1.710,4.727,4.4,-0.189,4.715,26.047,-56.0,4.430,26.266,98.375,2.1,-0.148,98.375,-1.714,-20.9,3.104,-1.619,-7.074,0.3,0.248,-7.062,-42.344,51.2,-3.982,-42.562,-102.188,-11.9,0.452,-102.125,0.000,0.0,0.000,0.000,0.000,0.0,0.000,0.000
