cycle,leg,foot_x,foot_y,foot_z_solver,foot_z_snap,support_idx,naive_idx,nom_x,nom_y,solver_ok,init_snap
0,HR,-0.06558129846,-0.1634529956,0.1494835884,0.15,-1,-1,-0.1842250377,-0.1418958369,1,0
0,FR,0.3605504287,-0.139393102,0.1523133747,0.15,-1,-1,0.2409258379,-0.1415368398,1,0
0,HL,-0.123878078,0.1008591731,0.152415582,0.15,-1,-1,-0.07393026405,0.1423723367,1,0
0,FL,0.3153540978,0.1266153571,0.1495229646,0.15,-1,-1,0.4094,0.1411618704,1,0
1,HR,0.2324184447,-0.1432308329,0.1499993612,0.15,-1,-1,0.08257394331,-0.1420643118,1,0
1,FR,0.619218433,-0.1432398456,0.1499521226,0.15,-1,-1,0.5292988368,-0.142412894,1,0
1,HL,0.2324250622,0.140769167,0.1499993667,0.15,-1,-1,0.2024250377,0.1410402373,1,0
1,FL,0.6192250507,0.140760154,0.1499522145,0.15,-1,-1,0.6492345949,0.1404794087,1,0
2,HR,0.472720542,-0.143578353,0.1481818145,0.15,-1,-1,0.3226214117,-0.1420891022,1,0
2,FR,0.8606697122,-0.1301605113,0.12413542,0.1571331829,2,-1,0.7695842818,-0.1424964713,1,0
2,HL,0.4726218873,0.1404153668,0.1481867569,0.15,-1,-1,0.4427491317,0.1408728897,1,0
2,FL,0.8605928073,0.1303513508,0.1239872635,0.1571331829,2,2,0.8895300046,0.1401483498,1,0
3,HR,0.7148800886,-0.1422017457,0.1338656349,0.15,-1,-1,0.5627115678,-0.1410661835,1,0
3,FR,1.097432773,-0.1420661973,0.07670826163,0.1571331829,2,2,1.009528516,-0.1405771955,1,0
3,HL,0.7147903717,0.1417983091,0.1339362332,0.15,-1,-1,0.6827078711,0.1424441327,1,0
3,FL,1.09734362,0.1419325749,0.07677971502,0.1571331829,2,2,1.129517284,0.1411797496,1,0
4,HR,0.9511688592,-0.1318104882,0.1233215771,0.1571331829,2,2,0.8028893142,-0.1419949218,1,0
4,FR,1.338099306,-0.1302655838,0.1198190053,0.14930336,7,7,1.249591324,-0.1424383503,1,0
4,HL,0.951328129,0.1304673,0.1245282757,0.1571331829,2,2,0.9222032,0.1406709859,1,0
4,FL,1.33813392,0.1295887127,0.1203970968,0.14930336,7,7,1.368322097,0.1396946504,1,0
5,HR,1.210179027,-0.1202013556,0.1035299146,0.14930336,7,2,1.04542828,-0.1417198483,1,0
5,FR,1.597826311,-0.1255384698,0.1016902686,0.1451734881,12,7,1.49969836,-0.1366217978,1,0
5,HL,1.21458909,0.1580129826,0.07462950809,0.14930336,7,7,1.179109062,0.1559858408,1,0
5,FL,1.600418707,0.1551642415,0.07663715229,0.1451734881,12,12,1.629699028,0.1604457316,1,0
6,HR,1.44029051,-0.1265018878,0.1148250929,0.14930336,7,7,1.302956287,-0.1418573954,1,0
6,FR,1.829526782,-0.1270796756,0.1153645204,0.1451734881,12,12,1.749291591,-0.142144128,1,0
6,HL,1.440980504,0.1251001345,0.1154695891,0.14930336,7,7,1.42131007,0.1410143927,1,0
6,FL,1.829786873,0.1255077881,0.1162970615,0.1451734881,12,12,1.86675199,0.140141595,1,0
7,HR,1.689417574,-0.1422337536,0.1008671641,0.1451734881,12,12,1.539291845,-0.1423521397,1,0
7,FR,2.076213107,-0.1423389155,0.1027769702,0.1480947332,17,17,1.986166564,-0.1426014596,1,0
7,HL,1.689479226,0.1417471679,0.1014451388,0.1451734881,12,12,1.65942447,0.1416618593,1,0
7,FL,2.076274452,0.1416770048,0.1033545879,0.1480947332,17,17,2.106215175,0.1416828078,1,0
8,HR,1.887726401,-0.1323718958,0.07097620457,0.1451734881,12,12,1.775282212,-0.140711495,1,0
8,FR,2.274349994,-0.1326416974,0.06710810139,0.1480947332,17,17,2.209339556,-0.1404222847,1,0
8,HL,1.887528551,0.1300635214,0.07249310833,0.1451734881,12,12,1.870294926,0.1425198647,1,0
8,FL,2.274156627,0.13115509,0.06806801625,0.1480947332,17,22,2.322215175,0.1363508755,1,0
9,HR,2.143360017,-0.1315844604,0.1168067883,0.1480947332,17,17,1.99551942,-0.1420039302,1,0
9,FR,2.530360608,-0.1321569738,0.1178949947,0.1505166234,22,22,2.442079577,-0.1424183535,1,0
