cycle,leg,nom_x,nom_y,on,stone_idx,ix,iy,cx,cy,top_z,role,dz_prev,marginal,infeasible
0,HR,-0.1842,-0.1419,strip,-1,-1,-1,-0.1842,-0.1419,0.1500,,,0,0
0,FR,0.2409,-0.1415,strip,-1,-1,-1,0.2409,-0.1415,0.1500,,,0,0
0,HL,-0.0739,0.1424,strip,-1,-1,-1,-0.0739,0.1424,0.1500,,,0,0
0,FL,0.4094,0.1412,strip,-1,-1,-1,0.4094,0.1412,0.1500,,,0,0
1,HR,0.0558,-0.1419,strip,-1,-1,-1,0.0558,-0.1419,0.1500,,,0,0
1,FR,0.4809,-0.1415,strip,-1,-1,-1,0.4809,-0.1415,0.1500,,,0,0
1,HL,0.1661,0.1424,strip,-1,-1,-1,0.1661,0.1424,0.1500,,,0,0
1,FL,0.6494,0.1412,strip,-1,-1,-1,0.6494,0.1412,0.1500,,,0,0
2,HR,0.2958,-0.1419,strip,-1,-1,-1,0.2958,-0.1419,0.1500,,,0,0
2,FR,0.7209,-0.1415,strip,-1,-1,-1,0.7209,-0.1415,0.1500,,,0,0
2,HL,0.4061,0.1424,strip,-1,-1,-1,0.4061,0.1424,0.1500,,,0,0
2,FL,0.8894,0.1412,stone,34,-1,2,0.8861,0.1824,0.5270,trap,0.3770,1,1
3,HR,0.5358,-0.1419,strip,-1,-1,-1,0.5358,-0.1419,0.1500,,,0,0
3,FR,0.9609,-0.1415,stone,45,-1,2,0.9456,-0.1785,0.5206,trap,0.3706,1,1
3,HL,0.6461,0.1424,strip,-1,-1,-1,0.6461,0.1424,0.1500,,,0,0
3,FL,1.1294,0.1412,stone,38,-1,2,1.0728,0.1977,0.3446,trap,-0.1824,1,1
4,HR,0.7758,-0.1419,stone,31,-1,2,0.8041,-0.1136,0.3636,trap,0.2136,1,1
4,FR,1.2009,-0.1415,stone,1,1,0,1.2313,-0.2695,0.1624,path,-0.3582,1,1
4,HL,0.8861,0.1424,stone,34,-1,2,0.8861,0.1824,0.5270,trap,0.3770,1,1
4,FL,1.3694,0.1412,stone,37,-1,2,1.4260,0.1977,0.3687,trap,0.0241,0,0
5,HR,1.0158,-0.1419,stone,45,-1,2,0.9456,-0.1785,0.5206,trap,0.1570,1,1
5,FR,1.4409,-0.1415,stone,17,2,1,1.4552,-0.0128,0.1482,path,-0.0142,0,0
5,HL,1.1261,0.1424,stone,38,-1,2,1.0728,0.1977,0.3446,trap,-0.1824,1,1
5,FL,1.6094,0.1412,stone,44,-1,2,1.6615,0.1194,0.5500,trap,0.1813,1,1
6,HR,1.2558,-0.1419,stone,1,1,0,1.2313,-0.2695,0.1624,path,-0.3582,1,1
6,FR,1.6809,-0.1415,stone,50,-1,2,1.6809,-0.1015,0.4065,trap,0.2583,1,1
6,HL,1.3661,0.1424,stone,37,-1,2,1.4260,0.1977,0.3687,trap,0.0241,0,0
6,FL,1.8494,0.1412,stone,48,-1,2,1.8461,0.1824,0.3929,trap,-0.1571,1,1
7,HR,1.4958,-0.1419,stone,17,2,1,1.4552,-0.0128,0.1482,path,-0.0142,0,0
7,FR,1.9209,-0.1415,stone,46,-1,2,1.9605,-0.1789,0.4039,trap,-0.0026,0,0
7,HL,1.6061,0.1424,stone,44,-1,2,1.6615,0.1194,0.5500,trap,0.1813,1,1
7,FL,2.0894,0.1412,stone,20,5,1,2.0642,0.2885,0.1924,path,-0.2005,1,1
8,HR,1.7358,-0.1419,stone,50,-1,2,1.6809,-0.1015,0.4065,trap,0.2583,1,1
8,FR,2.1609,-0.1415,stone,5,5,0,2.1511,-0.2935,0.1984,path,-0.2055,1,1
8,HL,1.8461,0.1424,stone,48,-1,2,1.8461,0.1824,0.3929,trap,-0.1571,1,1
8,FL,2.3294,0.1412,stone,21,6,1,2.2588,0.0201,0.2036,path,0.0112,0,0
9,HR,1.9758,-0.1419,stone,46,-1,2,1.9605,-0.1789,0.4039,trap,-0.0026,0,0
9,FR,2.4009,-0.1415,stone,40,-1,2,2.4133,-0.1843,0.4138,trap,0.2155,1,1
9,HL,2.0861,0.1424,stone,20,5,1,2.0642,0.2885,0.1924,path,-0.2005,1,1
9,FL,2.5694,0.1412,stone,36,-1,2,2.5311,0.0488,0.5500,trap,0.3464,1,1
10,HR,2.2158,-0.1419,stone,5,5,0,2.1511,-0.2935,0.1984,path,-0.2055,1,1
