order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.89,-0.28,0.1706574706,0.864994852,-0.2388702151,0.1706574706,2,0
1,2,FL,3,0.89,0,0.1414856869,0.8773790419,0.05733183308,0.1414856869,3,0
2,3,FR,9,1.17,-0.28,0.1348519369,1.12376379,-0.2617257937,0.1348519369,2,1
3,3,FL,10,1.17,0,0.1814966479,1.124418762,0.04,0.1814966479,10,0
4,4,HR,2,0.89,-0.28,0.1706574706,0.9165463083,-0.2698691745,0.1706574706,2,0
5,4,FR,16,1.45,-0.28,0.1249420041,1.4043438,-0.2700958864,0.1249420041,9,1
6,4,HL,3,0.89,0,0.1414856869,0.9530408247,0.04,0.1414856869,3,0
7,4,FL,17,1.45,0,0.1105906155,1.392519808,0.04,0.1105906155,17,0
8,5,HR,9,1.17,-0.28,0.1348519369,1.163634759,-0.2699880995,0.1348519369,9,0
9,5,HL,10,1.17,0,0.1814966479,1.170727434,0.04,0.1814966479,10,0
10,6,HR,16,1.45,-0.28,0.1249420041,1.416401131,-0.2695962322,0.1249420041,9,1
11,6,FR,23,1.73,-0.28,0.1881720212,1.762576773,-0.2695176095,0.1881720212,23,0
12,6,HL,17,1.45,0,0.1105906155,1.419376755,0.04,0.1105906155,17,0
13,6,FL,24,1.73,0,0.1272436895,1.773283612,0.04,0.1272436895,24,0
14,7,FR,30,2.01,-0.28,0.1449291649,2.016605713,-0.2700448102,0.1449291649,30,0
15,7,HL,24,1.73,0,0.1272436895,1.705355754,0.05971890787,0.1272436895,24,0
16,7,FL,31,2.01,0,0.1304468407,2.05588614,0.04,0.1304468407,31,0
17,8,HR,23,1.73,-0.28,0.1881720212,1.791770276,-0.2497608078,0.1881720212,23,0
18,8,FR,37,2.29,-0.28,0.1867289405,2.28729864,-0.2699734821,0.1867289405,37,0
19,8,HL,31,2.01,0,0.1304468407,1.967257045,0.05190822577,0.1304468407,31,0
20,8,FL,38,2.29,0,0.1940209689,2.311062155,0.04,0.1940209689,38,0
21,9,HR,30,2.01,-0.28,0.1449291649,2.053044132,-0.2500045216,0.1449291649,30,0
22,9,FR,44,2.57,-0.28,0.1070869778,2.545358151,-0.2699992979,0.1070869778,44,0
23,9,HL,38,2.29,0,0.1940209689,2.2283871,0.04658333528,0.1940209689,31,1
24,9,FL,45,2.57,0,0.1292794031,2.580329179,0.04,0.1292794031,45,0
25,10,HR,37,2.29,-0.28,0.1867289405,2.330038592,-0.2701685752,0.1867289405,37,0
26,10,FR,51,2.85,-0.28,0.1895385884,2.802564971,-0.2700087385,0.1895385884,44,1
27,10,FL,52,2.85,0,0.1967794672,2.794120921,0.04,0.1967794672,52,0
28,11,HR,44,2.57,-0.28,0.1070869778,2.540676252,-0.2745344973,0.1070869778,44,0
29,11,HL,45,2.57,0,0.1292794031,2.545347262,0.04,0.1292794031,45,0
30,12,FR,58,3.13,-0.28,0.1552078277,3.136413814,-0.2702533669,0.1552078277,58,0
31,12,HL,52,2.85,0,0.1967794672,2.823807507,0.05972066608,0.1967794672,52,0
32,12,FL,59,3.13,0,0.1271652768,3.175983676,0.04,0.1271652768,59,0
33,13,HR,51,2.85,-0.28,0.1895385884,2.915291512,-0.2489607136,0.1895385884,51,0
34,13,FR,65,3.41,-0.28,0.1373034864,3.407792004,-0.2700859937,0.1373034864,65,0
35,13,HL,59,3.13,0,0.1271652768,3.087398309,0.05630742843,0.1271652768,59,0
36,13,FL,66,3.41,0,0.1524970442,3.435151978,0.04,0.1524970442,66,0
37,14,HR,58,3.13,-0.28,0.1552078277,3.176133562,-0.2537301381,0.1552078277,58,0
38,14,FR,72,3.69,-0.28,0.1253642524,3.67016963,-0.2726701233,0.1253642524,72,0
39,14,HL,66,3.41,0,0.1524970442,3.341369903,0.04406935927,0.1524970442,59,1
40,14,FL,73,3.69,0,0.1446135513,3.697672007,0.04,0.1446135513,73,0
41,15,HR,65,3.41,-0.28,0.1373034864,3.442609298,-0.2688555003,0.1373034864,65,0
42,15,FR,79,3.97,-0.28,0.1710528403,3.923138748,-0.2691105291,0.1710528403,72,1
43,15,FL,80,3.97,0,0.1204923687,3.904516482,0.04,0.1204923687,80,0
44,16,HR,72,3.69,-0.28,0.1253642524,3.687936797,-0.2665158434,0.1253642524,72,0
45,16,HL,73,3.69,0,0.1446135513,3.695076694,0.04,0.1446135513,73,0
