order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9133333333,-0.1633333333,0.102234012
1,FL,3,0.9133333333,0.1633333333,0.102234012
2,HR,2,0.9133333333,-0.1633333333,0.102234012
3,FR,8,1.24,-0.1633333333,0.1227556743
4,HL,3,0.9133333333,0.1633333333,0.102234012
5,FL,9,1.24,0.1633333333,0.1227556743
6,HR,8,1.24,-0.1633333333,0.1227556743
7,FR,14,1.566666667,-0.1633333333,0.1440990557
8,HL,9,1.24,0.1633333333,0.1227556743
9,FL,15,1.566666667,0.1633333333,0.1440990557
10,HR,14,1.566666667,-0.1633333333,0.1440990557
11,FR,20,1.893333333,-0.1633333333,0.1556831462
12,HL,15,1.566666667,0.1633333333,0.1440990557
13,FL,21,1.893333333,0.1633333333,0.1556831462
14,HR,20,1.893333333,-0.1633333333,0.1556831462
15,FR,26,2.22,-0.1633333333,0.1195811582
16,HL,21,1.893333333,0.1633333333,0.1556831462
17,FL,27,2.22,0.1633333333,0.1195811582
18,HR,26,2.22,-0.1633333333,0.1195811582
19,FR,32,2.546666667,-0.1633333333,0.1444252386
20,HL,27,2.22,0.1633333333,0.1195811582
21,FL,33,2.546666667,0.1633333333,0.1444252386
22,HR,32,2.546666667,-0.1633333333,0.1444252386
23,FR,38,2.873333333,-0.1633333333,0.1895157948
24,HL,33,2.546666667,0.1633333333,0.1444252386
25,FL,39,2.873333333,0.1633333333,0.1895157948
26,HR,38,2.873333333,-0.1633333333,0.1895157948
27,FR,44,3.2,-0.1633333333,0.2016891689
28,HL,39,2.873333333,0.1633333333,0.1895157948
29,FL,45,3.2,0.1633333333,0.2016891689
30,HR,44,3.2,-0.1633333333,0.2016891689
31,FR,50,3.526666667,-0.1633333333,0.2196841409
32,HL,45,3.2,0.1633333333,0.2016891689
33,FL,51,3.526666667,0.1633333333,0.2196841409
34,HR,50,3.526666667,-0.1633333333,0.2196841409
35,FR,56,3.853333333,-0.1633333333,0.2471429443
36,HL,51,3.526666667,0.1633333333,0.2196841409
37,FL,57,3.853333333,0.1633333333,0.2471429443
