order,leg,stone_idx,cx,cy,top_z
0,FR,16,0.8547101298,-0.005168099858,0.1535854028
1,FL,16,0.8547101298,-0.005168099858,0.1535854028
2,HR,16,0.8547101298,-0.005168099858,0.1535854028
3,FR,0,0.9619449675,-0.01987507821,0.1572572546
4,HL,16,0.8547101298,-0.005168099858,0.1535854028
5,FL,0,0.9619449675,-0.01987507821,0.1572572546
6,HR,0,0.9619449675,-0.01987507821,0.1572572546
7,FR,18,1.268079441,-0.02724718379,0.1747355842
8,HL,0,0.9619449675,-0.01987507821,0.1572572546
9,FL,18,1.268079441,-0.02724718379,0.1747355842
10,HR,18,1.268079441,-0.02724718379,0.1747355842
11,FR,2,1.364507363,-0.006062588887,0.1820509793
12,HL,18,1.268079441,-0.02724718379,0.1747355842
13,FL,2,1.364507363,-0.006062588887,0.1820509793
14,HR,2,1.364507363,-0.006062588887,0.1820509793
15,FR,20,1.679377073,-0.04015371794,0.1633285631
16,HL,2,1.364507363,-0.006062588887,0.1820509793
17,FL,20,1.679377073,-0.04015371794,0.1633285631
18,HR,20,1.679377073,-0.04015371794,0.1633285631
19,FR,4,1.803417263,0.009478045846,0.1503452301
20,HL,20,1.679377073,-0.04015371794,0.1633285631
21,FL,4,1.803417263,0.009478045846,0.1503452301
22,HR,4,1.803417263,0.009478045846,0.1503452301
23,FR,22,2.120785349,-0.006137820454,0.175695338
24,HL,4,1.803417263,0.009478045846,0.1503452301
25,FL,22,2.120785349,-0.006137820454,0.175695338
26,HR,22,2.120785349,-0.006137820454,0.175695338
27,FR,6,2.218171365,-0.01215459502,0.1837919111
28,HL,22,2.120785349,-0.006137820454,0.175695338
29,FL,6,2.218171365,-0.01215459502,0.1837919111
30,HR,6,2.218171365,-0.01215459502,0.1837919111
31,FR,8,2.593014036,-0.02045653408,0.2150693297
32,HL,6,2.218171365,-0.01215459502,0.1837919111
33,FL,8,2.593014036,-0.02045653408,0.2150693297
34,HR,8,2.593014036,-0.02045653408,0.2150693297
35,FR,26,2.918942223,-0.01505201295,0.2300252904
36,HL,8,2.593014036,-0.02045653408,0.2150693297
37,FL,26,2.918942223,-0.01505201295,0.2300252904
38,HR,26,2.918942223,-0.01505201295,0.2300252904
39,FR,10,2.96654771,-0.02193479222,0.2261349101
40,HL,26,2.918942223,-0.01505201295,0.2300252904
41,FL,10,2.96654771,-0.02193479222,0.2261349101
42,HR,10,2.96654771,-0.02193479222,0.2261349101
43,FR,28,3.339212904,-0.007052821528,0.2159150143
44,HL,10,2.96654771,-0.02193479222,0.2261349101
45,FL,28,3.339212904,-0.007052821528,0.2159150143
46,HR,28,3.339212904,-0.007052821528,0.2159150143
47,FR,12,3.351041037,0.02358008523,0.2166676386
48,HL,28,3.339212904,-0.007052821528,0.2159150143
49,FL,12,3.351041037,0.02358008523,0.2166676386
50,HR,12,3.351041037,0.02358008523,0.2166676386
51,FR,30,3.732319143,0.01830305689,0.2102224583
52,HL,12,3.351041037,0.02358008523,0.2166676386
53,FL,30,3.732319143,0.01830305689,0.2102224583
54,HR,30,3.732319143,0.01830305689,0.2102224583
55,FR,15,3.924763974,-0.266802174,0.1935816319
56,HL,30,3.732319143,0.01830305689,0.2102224583
57,FL,14,3.73652899,0.02854827191,0.2097813149
58,HR,15,3.924763974,-0.266802174,0.1935816319
59,HL,14,3.73652899,0.02854827191,0.2097813149
60,FL,31,3.942032525,0.3351483149,0.1942302786
