idx,ix,iy,cx,cy,size,top_z
0,0,0,0.9133333333,-0.8166666667,0.2,0.1644573121
1,0,1,0.9133333333,-0.49,0.2,0.1430706469
2,0,2,0.9133333333,-0.1633333333,0.2,0.1543614208
3,0,3,0.9133333333,0.1633333333,0.2,0.1288853224
4,0,4,0.9133333333,0.49,0.2,0.126323184
5,0,5,0.9133333333,0.8166666667,0.2,0.149203752
6,1,0,1.24,-0.8166666667,0.2,0.1403741825
7,1,1,1.24,-0.49,0.2,0.1793621297
8,1,2,1.24,-0.1633333333,0.2,0.1676883503
9,1,3,1.24,0.1633333333,0.2,0.1665775747
10,1,4,1.24,0.49,0.2,0.1769146493
11,1,5,1.24,0.8166666667,0.2,0.1222281624
12,2,0,1.566666667,-0.8166666667,0.2,0.153479498
13,2,1,1.566666667,-0.49,0.2,0.1556317379
14,2,2,1.566666667,-0.1633333333,0.2,0.1807957586
15,2,3,1.566666667,0.1633333333,0.2,0.1361431685
16,2,4,1.566666667,0.49,0.2,0.1327219187
17,2,5,1.566666667,0.8166666667,0.2,0.1233529295
18,3,0,1.893333333,-0.8166666667,0.2,0.1177619753
19,3,1,1.893333333,-0.49,0.2,0.1786352878
20,3,2,1.893333333,-0.1633333333,0.2,0.1613277698
21,3,3,1.893333333,0.1633333333,0.2,0.1690101941
22,3,4,1.893333333,0.49,0.2,0.1354486737
23,3,5,1.893333333,0.8166666667,0.2,0.1557606777
24,4,0,2.22,-0.8166666667,0.2,0.1209303511
25,4,1,2.22,-0.49,0.2,0.1490418397
26,4,2,2.22,-0.1633333333,0.2,0.1818330093
27,4,3,2.22,0.1633333333,0.2,0.1751003497
28,4,4,2.22,0.49,0.2,0.1392105968
29,4,5,2.22,0.8166666667,0.2,0.1807713436
30,5,0,2.546666667,-0.8166666667,0.2,0.1321134418
31,5,1,2.546666667,-0.49,0.2,0.1799545882
32,5,2,2.546666667,-0.1633333333,0.2,0.1794251803
33,5,3,2.546666667,0.1633333333,0.2,0.1699468392
34,5,4,2.546666667,0.49,0.2,0.1586965291
35,5,5,2.546666667,0.8166666667,0.2,0.1749525311
36,6,0,2.873333333,-0.8166666667,0.2,0.1362013523
37,6,1,2.873333333,-0.49,0.2,0.1732629037
38,6,2,2.873333333,-0.1633333333,0.2,0.1578584461
39,6,3,2.873333333,0.1633333333,0.2,0.1175491239
40,6,4,2.873333333,0.49,0.2,0.1398155679
41,6,5,2.873333333,0.8166666667,0.2,0.1265427241
42,7,0,3.2,-0.8166666667,0.2,0.1821219593
43,7,1,3.2,-0.49,0.2,0.1485580205
44,7,2,3.2,-0.1633333333,0.2,0.149826091
45,7,3,3.2,0.1633333333,0.2,0.1592981678
46,7,4,3.2,0.49,0.2,0.1412389737
47,7,5,3.2,0.8166666667,0.2,0.1257933514
48,8,0,3.526666667,-0.8166666667,0.2,0.1714745155
49,8,1,3.526666667,-0.49,0.2,0.1293231941
50,8,2,3.526666667,-0.1633333333,0.2,0.1507545988
51,8,3,3.526666667,0.1633333333,0.2,0.1316211353
52,8,4,3.526666667,0.49,0.2,0.1231896323
53,8,5,3.526666667,0.8166666667,0.2,0.1741461012
54,9,0,3.853333333,-0.8166666667,0.2,0.1815279659
55,9,1,3.853333333,-0.49,0.2,0.1807223105
56,9,2,3.853333333,-0.1633333333,0.2,0.1771036999
57,9,3,3.853333333,0.1633333333,0.2,0.1682698222
58,9,4,3.853333333,0.49,0.2,0.1388763435
59,9,5,3.853333333,0.8166666667,0.2,0.122073426
