idx,ix,iy,cx,cy,size,top_z
0,0,0,0.89,-0.84,0.1,0.4079284467
1,0,1,0.89,-0.56,0.1,0.4230546262
2,0,2,0.89,-0.28,0.1,0.1700762193
3,0,3,0.89,0,0.1,0.1700762193
4,0,4,0.89,0.28,0.1,0.4211197473
5,0,5,0.89,0.56,0.1,0.4126498323
6,0,6,0.89,0.84,0.1,0.4061235362
7,1,0,1.17,-0.84,0.1,0.4246793062
8,1,1,1.17,-0.56,0.1,0.4454557409
9,1,2,1.17,-0.28,0.1,0.196653832
10,1,3,1.17,0,0.1,0.196653832
11,1,4,1.17,0.28,0.1,0.4190235121
12,1,5,1.17,0.56,0.1,0.4251064435
13,1,6,1.17,0.84,0.1,0.4429957576
14,2,0,1.45,-0.84,0.1,0.3922538583
15,2,1,1.45,-0.56,0.1,0.4227775334
16,2,2,1.45,-0.28,0.1,0.1588585433
17,2,3,1.45,0,0.1,0.1588585433
18,2,4,1.45,0.28,0.1,0.4376047574
19,2,5,1.45,0.56,0.1,0.4015286694
20,2,6,1.45,0.84,0.1,0.3865316121
21,3,0,1.73,-0.84,0.1,0.416118496
22,3,1,1.73,-0.56,0.1,0.4678525282
23,3,2,1.73,-0.28,0.1,0.193971179
24,3,3,1.73,0,0.1,0.193971179
25,3,4,1.73,0.28,0.1,0.465262768
26,3,5,1.73,0.56,0.1,0.416656285
27,3,6,1.73,0.84,0.1,0.4277730915
28,4,0,2.01,-0.84,0.1,0.4662336163
29,4,1,2.01,-0.56,0.1,0.4632613507
30,4,2,2.01,-0.28,0.1,0.2379717593
31,4,3,2.01,0,0.1,0.2379717593
32,4,4,2.01,0.28,0.1,0.483124159
33,4,5,2.01,0.56,0.1,0.4682419358
34,4,6,2.01,0.84,0.1,0.4623103365
35,5,0,2.29,-0.84,0.1,0.4805244306
36,5,1,2.29,-0.56,0.1,0.4711826912
37,5,2,2.29,-0.28,0.1,0.236029691
38,5,3,2.29,0,0.1,0.236029691
39,5,4,2.29,0.28,0.1,0.4591987884
40,5,5,2.29,0.56,0.1,0.462097514
41,5,6,2.29,0.84,0.1,0.4818787696
42,6,0,2.57,-0.84,0.1,0.4243773674
43,6,1,2.57,-0.56,0.1,0.4770041033
44,6,2,2.57,-0.28,0.1,0.1901777778
45,6,3,2.57,0,0.1,0.1901777778
46,6,4,2.57,0.28,0.1,0.4754850508
47,6,5,2.57,0.56,0.1,0.430750516
48,6,6,2.57,0.84,0.1,0.4193903789
49,7,0,2.85,-0.84,0.1,0.4288653823
50,7,1,2.85,-0.56,0.1,0.4357885911
51,7,2,2.85,-0.28,0.1,0.1870859717
52,7,3,2.85,0,0.1,0.1870859717
53,7,4,2.85,0.28,0.1,0.4243109441
54,7,5,2.85,0.56,0.1,0.4316390005
55,7,6,2.85,0.84,0.1,0.4147574588
56,8,0,3.13,-0.84,0.1,0.368700535
57,8,1,3.13,-0.56,0.1,0.4192648314
58,8,2,3.13,-0.28,0.1,0.1433596312
59,8,3,3.13,0,0.1,0.1433596312
60,8,4,3.13,0.28,0.1,0.4139536299
61,8,5,3.13,0.56,0.1,0.3825821167
62,8,6,3.13,0.84,0.1,0.3843467013
63,9,0,3.41,-0.84,0.1,0.4068332246
64,9,1,3.41,-0.56,0.1,0.4015496853
65,9,2,3.41,-0.28,0.1,0.1582228829
66,9,3,3.41,0,0.1,0.1582228829
67,9,4,3.41,0.28,0.1,0.395033812
68,9,5,3.41,0.56,0.1,0.4054612155
69,9,6,3.41,0.84,0.1,0.393724586
70,10,0,3.69,-0.84,0.1,0.3946423889
71,10,1,3.69,-0.56,0.1,0.399829638
72,10,2,3.69,-0.28,0.1,0.1490981712
73,10,3,3.69,0,0.1,0.1490981712
74,10,4,3.69,0.28,0.1,0.3846603366
75,10,5,3.69,0.56,0.1,0.3795440629
76,10,6,3.69,0.84,0.1,0.389785857
77,11,0,3.97,-0.84,0.1,0.3488071218
78,11,1,3.97,-0.56,0.1,0.39481557
79,11,2,3.97,-0.28,0.1,0.107971274
80,11,3,3.97,0,0.1,0.107971274
81,11,4,3.97,0.28,0.1,0.3814238783
82,11,5,3.97,0.56,0.1,0.333163357
83,11,6,3.97,0.84,0.1,0.3451727255
