idx,ix,iy,cx,cy,size,top_z
0,0,0,0.9314712655,-0.05937369345,0.3863632075,0.1524989479
1,1,0,1.207098325,-0.2184218036,0.3838512536,0.159949725
2,2,0,1.428028609,-0.06723798529,0.3922204362,0.1705323772
3,3,0,1.63577733,-0.2380755676,0.3872148156,0.1913460302
4,4,0,1.824936274,-0.058306514,0.3889669055,0.2086323699
5,5,0,2.008886215,-0.204521185,0.3820219443,0.2072890817
6,6,0,2.251685294,-0.06787186591,0.4014461491,0.1964082364
7,7,0,2.46298313,-0.2310340845,0.4013962828,0.1759395816
8,8,0,2.711716327,-0.04572141568,0.4016799294,0.1538683619
9,9,0,2.921666359,-0.231923016,0.3962024358,0.1337359613
10,10,0,3.106729332,-0.05730040155,0.4079154186,0.1129263833
11,11,0,3.342231203,-0.2332010327,0.387826133,0.1053471912
12,12,0,3.525443391,-0.04344638728,0.402332798,0.1090939921
13,13,0,3.741503082,-0.2181950448,0.382092036,0.1184290292
14,14,0,3.964665446,-0.04773618237,0.3954527638,0.1226775871
15,0,1,1.059356599,0.04410484944,0.4127561131,0.1542599914
16,1,1,1.266989324,0.2208272662,0.4085570826,0.1628185287
17,2,1,1.541231012,0.07415556582,0.3957204404,0.1812890978
18,3,1,1.751699246,0.2041167588,0.3891068741,0.2036766943
19,4,1,2.012577285,0.06762973156,0.398930744,0.2072621278
20,5,1,2.249745837,0.23854011,0.3890009896,0.1965961138
21,6,1,2.460060746,0.07151050146,0.3953689754,0.1762226762
22,7,1,2.681888263,0.2109143285,0.4003286126,0.1564727068
23,8,1,2.865743731,0.07126709821,0.4006430783,0.1400242333
24,9,1,3.125089419,0.2059620331,0.4030761587,0.1108618663
25,10,1,3.399057394,0.06898513826,0.3865334792,0.1065093214
26,11,1,3.635450522,0.2320878952,0.3983446448,0.1135374879
27,12,1,3.858024881,0.08093831295,0.4197405344,0.1238034511
28,-1,3,3.521616771,0.7816027991,0.3899275477,0.1248476082
29,-1,3,3.542870908,-0.7757582721,0.3201139908,0.1085664845
30,-1,3,2.614201513,-0.7519629306,0.3313759388,0.1424047932
31,-1,3,1.816823046,0.6190659421,0.3444924089,0.2224572817
32,-1,3,1.17973951,0.7384360881,0.3235519983,0.1505153519
33,-1,3,2.860237228,0.7864786547,0.3513197872,0.1590550107
34,-1,3,2.351879907,0.7134967636,0.3768754378,0.1750340208
35,-1,3,1.343895038,-0.7158748985,0.3429069946,0.1813980563
36,-1,3,1.905647509,-0.6559729726,0.3327294684,0.2277717148
37,-1,3,4.080589235,-0.641481077,0.3338510162,0.1310930963
38,-1,3,4.02033693,0.6199303052,0.3255865761,0.1302725828
