level,leg,footfall_order,s,x,y,z
4,FL,0,0,0.1934,0.142,0.15
4,FL,0,0.1,0.2055954098,0.1404615357,0.175
4,FL,0,0.2,0.2177908196,0.1389230714,0.17816
4,FL,0,0.3,0.2299862293,0.1373846071,0.20184
4,FL,0,0.4,0.2421816391,0.1358461428,0.22168
4,FL,0,0.5,0.2543770489,0.1343076785,0.23
4,FL,0,0.6,0.2665724587,0.1327692143,0.22168
4,FL,0,0.7,0.2787678685,0.13123075,0.20184
4,FL,0,0.8,0.2909632782,0.1296922857,0.17816
4,FL,0,0.9,0.303158688,0.1281538214,0.175
4,FL,0,1,0.3153540978,0.1266153571,0.15
4,FL,1,0,0.3153540978,0.1266153571,0.15
4,FL,1,0.1,0.3457043365,0.1280298435,0.175
4,FL,1,0.2,0.3760545753,0.1294443299,0.17816
4,FL,1,0.3,0.4064048141,0.1308588163,0.20184
4,FL,1,0.4,0.4367550528,0.1322733027,0.22168
4,FL,1,0.5,0.4671052916,0.1336877891,0.23
4,FL,1,0.6,0.4974555303,0.1351022754,0.22168
4,FL,1,0.7,0.527805769,0.1365167618,0.20184
4,FL,1,0.8,0.5581560078,0.1379312482,0.17816
4,FL,1,0.9,0.5885062466,0.1393457346,0.175
4,FL,1,1,0.6188564853,0.140760221,0.15
4,FL,2,0,0.6188564853,0.140760221,0.15
4,FL,2,0.1,0.6434131502,0.1404748924,0.175
4,FL,2,0.2,0.6679698151,0.1401895638,0.1839191277
4,FL,2,0.3,0.69252648,0.1399042352,0.2124420304
4,FL,2,0.4,0.7170831449,0.1396189066,0.2363395977
4,FL,2,0.5,0.7416398098,0.139333578,0.2463611581
4,FL,2,0.6,0.7661964748,0.1390482493,0.2380411581
4,FL,2,0.7,0.7907531397,0.1387629207,0.2182011581
4,FL,2,0.8,0.8153098046,0.1384775921,0.1945211581
4,FL,2,0.9,0.8398664695,0.1381922635,0.1746811581
4,FL,2,1,0.8644231344,0.1379069349,0.1663611581
4,FL,3,0,0.8644231344,0.1379069349,0.1663611581
4,FL,3,0.1,0.8829807372,0.1350694549,0.1746811581
4,FL,3,0.2,0.9015383399,0.1322319749,0.1945211581
4,FL,3,0.3,0.9200959427,0.129394495,0.2182011581
4,FL,3,0.4,0.9386535454,0.126557015,0.2380411581
4,FL,3,0.5,0.9572111482,0.123719535,0.2463611581
4,FL,3,0.6,0.975768751,0.120882055,0.2380411581
4,FL,3,0.7,0.9943263537,0.118044575,0.2182011581
4,FL,3,0.8,1.012883956,0.1152070951,0.1945211581
4,FL,3,0.9,1.031441559,0.1123696151,0.1913611581
4,FL,3,1,1.049999162,0.1095321351,0.1663611581
4,FL,4,0,1.049999162,0.1095321351,0.1663611581
4,FL,4,0.1,1.078515934,0.1120619447,0.1746811581
4,FL,4,0.2,1.107032707,0.1145917544,0.1945211581
4,FL,4,0.3,1.135549479,0.117121564,0.2182011581
4,FL,4,0.4,1.164066251,0.1196513737,0.2380411581
4,FL,4,0.5,1.192583024,0.1221811833,0.2463611581
4,FL,4,0.6,1.221099796,0.1247109929,0.2377600942
4,FL,4,0.7,1.249616568,0.1272408026,0.2172498648
4,FL,4,0.8,1.27813334,0.1297706122,0.1927699137
4,FL,4,0.9,1.306650113,0.1323004219,0.1886586204
4,FL,4,1,1.335166885,0.1348302315,0.1636586204
4,FL,5,0,1.335166885,0.1348302315,0.1636586204
4,FL,5,0.1,1.361285676,0.1359998009,0.1719786204
4,FL,5,0.2,1.387404466,0.1371693702,0.1918186204
4,FL,5,0.3,1.413523257,0.1383389396,0.2154986204
4,FL,5,0.4,1.439642047,0.1395085089,0.2353386204
4,FL,5,0.5,1.465760838,0.1406780783,0.2436586204
4,FL,5,0.6,1.491879629,0.1418476476,0.2337033878
4,FL,5,0.7,1.517998419,0.1430172169,0.2099639871
4,FL,5,0.8,1.54411721,0.1441867863,0.1816298636
4,FL,5,0.9,1.570236,0.1453563556,0.1578904629
4,FL,5,1,1.596354791,0.146525925,0.1479352303
4,FL,6,0,1.596354791,0.146525925,0.1479352303
4,FL,6,0.1,1.61417307,0.1432585828,0.1562552303
4,FL,6,0.2,1.631991349,0.1399912406,0.1760952303
4,FL,6,0.3,1.649809628,0.1367238984,0.1997752303
4,FL,6,0.4,1.667627907,0.1334565562,0.2196152303
4,FL,6,0.5,1.685446186,0.1301892141,0.2279352303
4,FL,6,0.6,1.703264465,0.1269218719,0.2196152303
4,FL,6,0.7,1.721082744,0.1236545297,0.1997752303
4,FL,6,0.8,1.738901023,0.1203871875,0.1760952303
4,FL,6,0.9,1.756719302,0.1171198453,0.1729352303
4,FL,6,1,1.774537581,0.1138525031,0.1479352303
4,FL,7,0,1.774537581,0.1138525031,0.1479352303
4,FL,7,0.1,1.801018134,0.1152863263,0.1562552303
4,FL,7,0.2,1.827498686,0.1167201495,0.1760952303
4,FL,7,0.3,1.853979239,0.1181539726,0.1997752303
4,FL,7,0.4,1.880459791,0.1195877958,0.2196152303
4,FL,7,0.5,1.906940344,0.121021619,0.2279352303
4,FL,7,0.6,1.933420897,0.1224554422,0.2175730003
4,FL,7,0.7,1.959901449,0.1238892654,0.1928630673
4,FL,7,0.8,1.986382002,0.1253230885,0.1633705667
4,FL,7,0.9,2.012862554,0.1267569117,0.1532984037
4,FL,7,1,2.039343107,0.1281907349,0.1282984037
4,FL,8,0,2.039343107,0.1281907349,0.1282984037
4,FL,8,0.1,2.06401064,0.1283573168,0.1532984037
4,FL,8,0.2,2.088678173,0.1285238987,0.157125231
4,FL,8,0.3,2.113345707,0.1286904806,0.1813659722
4,FL,8,0.4,2.13801324,0.1288570625,0.2016757823
4,FL,8,0.5,2.162680773,0.1290236445,0.2101927995
4,FL,8,0.6,2.187348306,0.1291902264,0.2018727995
4,FL,8,0.7,2.212015839,0.1293568083,0.1820327995
4,FL,8,0.8,2.236683373,0.1295233902,0.1583527995
4,FL,8,0.9,2.261350906,0.1296899721,0.1551927995
4,FL,8,1,2.286018439,0.129856554,0.1301927995
4,FL,9,0,2.286018439,0.129856554,0.1301927995
4,FL,9,0.1,2.303711867,0.1279142262,0.1551927995
4,FL,9,0.2,2.321405295,0.1259718985,0.1583527995
4,FL,9,0.3,2.339098724,0.1240295707,0.1820327995
4,FL,9,0.4,2.356792152,0.1220872429,0.2018727995
4,FL,9,0.5,2.37448558,0.1201449152,0.2101927995
4,FL,9,0.6,2.392179008,0.1182025874,0.2018727995
4,FL,9,0.7,2.409872436,0.1162602596,0.1820327995
4,FL,9,0.8,2.427565865,0.1143179318,0.1583527995
4,FL,9,0.9,2.445259293,0.1123756041,0.1551927995
4,FL,9,1,2.462952721,0.1104332763,0.1301927995
4,FL,10,0,2.462952721,0.1104332763,0.1301927995
4,FL,10,0.1,2.489652208,0.1138699555,0.1551927995
4,FL,10,0.2,2.516351694,0.1173066348,0.162905547
4,FL,10,0.3,2.543051181,0.120743314,0.1904139939
4,FL,10,0.4,2.569750667,0.1241799933,0.2134616114
4,FL,10,0.5,2.596450154,0.1276166725,0.2231267414
4,FL,10,0.6,2.62314964,0.1310533518,0.2148067414
4,FL,10,0.7,2.649849127,0.134490031,0.1949667414
4,FL,10,0.8,2.676548613,0.1379267103,0.1712867414
4,FL,10,0.9,2.7032481,0.1413633895,0.1514467414
4,FL,10,1,2.729947586,0.1448000688,0.1431267414
4,FL,11,0,2.729947586,0.1448000688,0.1431267414
4,FL,11,0.1,2.755008754,0.1442447417,0.1527230605
4,FL,11,0.2,2.780069922,0.1436894147,0.1756065905
4,FL,11,0.3,2.805131089,0.1431340876,0.202919191
4,FL,11,0.4,2.830192257,0.1425787606,0.225802721
4,FL,11,0.5,2.855253425,0.1420234335,0.2353990401
4,FL,11,0.6,2.880314593,0.1414681064,0.2270790401
4,FL,11,0.7,2.905375761,0.1409127794,0.2072390401
4,FL,11,0.8,2.930436928,0.1403574523,0.1835590401
4,FL,11,0.9,2.955498096,0.1398021253,0.1637190401
4,FL,11,1,2.980559264,0.1392467982,0.1553990401
4,FL,12,0,2.980559264,0.1392467982,0.1553990401
4,FL,12,0.1,2.998939203,0.1365385182,0.1637190401
4,FL,12,0.2,3.017319142,0.1338302383,0.1835590401
4,FL,12,0.3,3.035699082,0.1311219583,0.2072390401
4,FL,12,0.4,3.054079021,0.1284136784,0.2270790401
4,FL,12,0.5,3.07245896,0.1257053985,0.2353990401
4,FL,12,0.6,3.090838899,0.1229971185,0.2270790401
4,FL,12,0.7,3.109218838,0.1202888385,0.2072390401
4,FL,12,0.8,3.127598778,0.1175805586,0.1835590401
4,FL,12,0.9,3.145978717,0.1148722787,0.1803990401
4,FL,12,1,3.164358656,0.1121639987,0.1553990401
4,FL,13,0,3.164358656,0.1121639987,0.1553990401
4,FL,13,0.1,3.190406303,0.1155755811,0.1803990401
4,FL,13,0.2,3.21645395,0.1189871635,0.1835590401
4,FL,13,0.3,3.242501598,0.1223987459,0.2072390401
4,FL,13,0.4,3.268549245,0.1258103283,0.2270790401
4,FL,13,0.5,3.294596892,0.1292219106,0.2353990401
4,FL,13,0.6,3.320644539,0.132633493,0.2266822427
4,FL,13,0.7,3.346692186,0.1360450754,0.2058960334
4,FL,13,0.8,3.372739834,0.1394566578,0.1810866868
4,FL,13,0.9,3.398787481,0.1428682402,0.1603004775
4,FL,13,1,3.424835128,0.1462798226,0.1515836801
4,FL,14,0,3.424835128,0.1462798226,0.1515836801
4,FL,14,0.1,3.450221105,0.1455814523,0.1599036801
4,FL,14,0.2,3.475607082,0.1448830821,0.1797436801
4,FL,14,0.3,3.50099306,0.1441847118,0.2034236801
4,FL,14,0.4,3.526379037,0.1434863416,0.2232636801
4,FL,14,0.5,3.551765014,0.1427879713,0.2315836801
4,FL,14,0.6,3.577150991,0.142089601,0.2217578107
4,FL,14,0.7,3.602536968,0.1413912308,0.1983268913
4,FL,14,0.8,3.627922946,0.1406928605,0.1703609554
4,FL,14,0.9,3.653308923,0.1399944903,0.146930036
4,FL,14,1,3.6786949,0.13929612,0.1371041666
4,FL,15,0,3.6786949,0.13929612,0.1371041666
4,FL,15,0.1,3.697509603,0.1363667135,0.1454241666
4,FL,15,0.2,3.716324305,0.1334373071,0.1652641666
4,FL,15,0.3,3.735139008,0.1305079006,0.1889441666
4,FL,15,0.4,3.753953711,0.1275784941,0.2087841666
4,FL,15,0.5,3.772768413,0.1246490876,0.2171041666
4,FL,15,0.6,3.791583116,0.1217196812,0.2087841666
4,FL,15,0.7,3.810397819,0.1187902747,0.1889441666
4,FL,15,0.8,3.829212522,0.1158608682,0.1652641666
4,FL,15,0.9,3.848027224,0.1129314618,0.1621041666
4,FL,15,1,3.866841927,0.1100020553,0.1371041666
4,FR,0,0,0.1934,-0.142,0.15
4,FR,0,0.1,0.2101150429,-0.1417393102,0.175
4,FR,0,0.2,0.2268300857,-0.1414786204,0.17816
4,FR,0,0.3,0.2435451286,-0.1412179306,0.20184
4,FR,0,0.4,0.2602601715,-0.1409572408,0.22168
4,FR,0,0.5,0.2769752143,-0.140696551,0.23
4,FR,0,0.6,0.2936902572,-0.1404358612,0.22168
4,FR,0,0.7,0.3104053001,-0.1401751714,0.20184
4,FR,0,0.8,0.327120343,-0.1399144816,0.17816
4,FR,0,0.9,0.3438353858,-0.1396537918,0.175
