level,leg,footfall_order,s,x,y,z
5,FL,0,0,0.1934,0.142,0.15
5,FL,0,0.1,0.2595818896,0.1316286767,0.175
5,FL,0,0.2,0.3257637792,0.1212573533,0.17816
5,FL,0,0.3,0.3919456689,0.11088603,0.20184
5,FL,0,0.4,0.4581275585,0.1005147067,0.22168
5,FL,0,0.5,0.5243094481,0.09014338335,0.23
5,FL,0,0.6,0.5904913377,0.07977206003,0.2208929136
5,FL,0,0.7,0.6566732273,0.0694007367,0.1991760153
5,FL,0,0.8,0.722855117,0.05902941337,0.175
5,FL,0,0.9,0.7890370066,0.04865809004,0.1687743505
5,FL,0,1,0.8552188962,0.03828676671,0.1424318617
5,FL,1,0,0.8552188962,0.03828676671,0.1424318617
5,FL,1,0.1,0.8883291814,0.03660595236,0.1674318617
5,FL,1,0.2,0.9214394666,0.03492513801,0.1674318617
5,FL,1,0.3,0.9545497517,0.03324432366,0.1824318617
5,FL,1,0.4,0.9876600369,0.03156350931,0.201691121
5,FL,1,0.5,1.020770322,0.02988269497,0.2165059358
5,FL,1,0.6,1.053880607,0.02820188062,0.2224318617
5,FL,1,0.7,1.086990892,0.02652106627,0.2064502485
5,FL,1,0.8,1.120101178,0.02484025192,0.1712906996
5,FL,1,0.9,1.153211463,0.02315943757,0.1451495375
5,FL,1,1,1.186321748,0.02147862322,0.1201495375
5,FL,2,0,1.186321748,0.02147862322,0.1201495375
5,FL,2,0.1,1.191028354,0.01911566807,0.1451495375
5,FL,2,0.2,1.195734959,0.01675271292,0.1484617745
5,FL,2,0.3,1.200441565,0.01438975778,0.1722697919
5,FL,2,0.4,1.205148171,0.01202680263,0.1922170498
5,FL,2,0.5,1.209854776,0.00966384748,0.2005820289
5,FL,2,0.6,1.214561382,0.007300892332,0.1919519079
5,FL,2,0.7,1.219267988,0.004937937184,0.1713723884
5,FL,2,0.8,1.223974594,0.002574982036,0.1468097362
5,FL,2,0.9,1.228681199,0.000212026888,0.1454540475
5,FL,2,1,1.233387805,-0.00215092826,0.1176000957
5,FL,3,0,1.233387805,-0.00215092826,0.1176000957
5,FL,3,0.1,1.266470588,-0.001517179438,0.1451495375
5,FL,3,0.2,1.299553371,-0.0008834306154,0.1483883935
5,FL,3,0.3,1.332636154,-0.0002496817931,0.174278553
5,FL,3,0.4,1.365718937,0.0003840670292,0.1959703083
5,FL,3,0.5,1.39880172,0.001017815852,0.2050668508
5,FL,3,0.6,1.431884504,0.001651564674,0.1959435141
5,FL,3,0.7,1.464967287,0.002285313496,0.174187865
5,FL,3,0.8,1.49805007,0.002919062318,0.1482214452
5,FL,3,0.9,1.531132853,0.003552811141,0.1500668508
5,FL,3,1,1.564215636,0.004186559963,0.1173424594
5,FL,4,0,1.564215636,0.004186559963,0.1173424594
5,FL,4,0.1,1.571903612,0.005825191045,0.1500668508
5,FL,4,0.2,1.579591588,0.007463822126,0.1500668508
5,FL,4,0.3,1.587279564,0.009102453208,0.174187865
5,FL,4,0.4,1.59496754,0.01074108429,0.1959435141
5,FL,4,0.5,1.602655515,0.01237971537,0.2050668508
5,FL,4,0.6,1.610343491,0.01401834645,0.1967468508
5,FL,4,0.7,1.618031467,0.01565697753,0.1769068508
5,FL,4,0.8,1.625719443,0.01729560862,0.1532268508
5,FL,4,0.9,1.633407419,0.0189342397,0.1500668508
5,FL,4,1,1.641095395,0.02057287078,0.1250668508
5,FL,5,0,1.641095395,0.02057287078,0.1250668508
5,FL,5,0.1,1.673148991,0.01690476809,0.1500668508
5,FL,5,0.2,1.705202586,0.0132366654,0.1827180687
5,FL,5,0.3,1.737256182,0.009568562707,0.222353281
5,FL,5,0.4,1.769309778,0.005900460016,0.2403692866
5,FL,5,0.5,1.801363374,0.002232357325,0.234100602
5,FL,5,0.6,1.833416969,-0.001435745366,0.2184288905
5,FL,5,0.7,1.865470565,-0.005103848057,0.1980556655
5,FL,5,0.8,1.897524161,-0.008771950748,0.1853692866
5,FL,5,0.9,1.929577756,-0.01244005344,0.1853692866
5,FL,5,1,1.961631352,-0.01610815613,0.1557420444
5,FL,6,0,1.961631352,-0.01610815613,0.1557420444
5,FL,6,0.1,1.966715884,-0.01404809255,0.1853740721
5,FL,6,0.2,1.971800415,-0.01198802897,0.1856163826
5,FL,6,0.3,1.976884947,-0.009927965383,0.2107379851
5,FL,6,0.4,1.981969478,-0.007867901801,0.2317858143
5,FL,6,0.5,1.987054009,-0.005807838218,0.2406123233
5,FL,6,0.6,1.992138541,-0.003747774636,0.2322670475
5,FL,6,0.7,1.997223072,-0.001687711054,0.2123667744
5,FL,6,0.8,2.002307604,0.0003723525284,0.1886148355
5,FL,6,0.9,2.007392135,0.002432416111,0.1853692866
5,FL,6,1,2.012476667,0.004492479693,0.1603692866
5,FL,7,0,2.012476667,0.004492479693,0.1603692866
5,FL,7,0.1,2.027199639,0.03044930283,0.1853692866
5,FL,7,0.2,2.04192261,0.05640612597,0.1931595015
5,FL,7,0.3,2.056645582,0.08236294912,0.2207330912
5,FL,7,0.4,2.071368554,0.1083197723,0.243835288
5,FL,7,0.5,2.086091526,0.1342765954,0.2535233061
5,FL,7,0.6,2.100814497,0.1602334185,0.2451599469
5,FL,7,0.7,2.115537469,0.1861902417,0.2252165521
5,FL,7,0.8,2.130260441,0.2121470648,0.2014131454
5,FL,7,0.9,2.144983412,0.238103888,0.1983486044
5,FL,7,1,2.159706384,0.2640607111,0.1731063915
5,FL,8,0,2.159706384,0.2640607111,0.1731063915
5,FL,8,0.1,2.183889236,0.2414701004,0.1988407061
5,FL,8,0.2,2.208072087,0.2188794898,0.2099313797
5,FL,8,0.3,2.232254939,0.1962888791,0.240897847
5,FL,8,0.4,2.256437791,0.1736982685,0.2668427251
5,FL,8,0.5,2.280620643,0.1511076578,0.2777228352
5,FL,8,0.6,2.304803494,0.1285170471,0.2674169647
5,FL,8,0.7,2.328986346,0.1059264365,0.2428414275
5,FL,8,0.8,2.353169198,0.08333582581,0.2135093346
5,FL,8,0.9,2.377352049,0.06074521515,0.2038130888
5,FL,8,1,2.401534901,0.03815460449,0.1786279268
5,FL,9,0,2.401534901,0.03815460449,0.1786279268
5,FL,9,0.1,2.420728219,0.06458231629,0.2076222141
5,FL,9,0.2,2.439921537,0.09101002809,0.2216066967
5,FL,9,0.3,2.459114855,0.1174377399,0.257747935
5,FL,9,0.4,2.478308173,0.1438654517,0.288028432
5,FL,9,0.5,2.497501492,0.1702931635,0.3007267049
5,FL,9,0.6,2.51669481,0.1967208753,0.2893239388
5,FL,9,0.7,2.535888128,0.2231485871,0.2621327274
5,FL,9,0.8,2.555081446,0.2495762989,0.2296787008
5,FL,9,0.9,2.574274764,0.2760040107,0.2160847232
5,FL,9,1,2.593468082,0.3024317225,0.1910847232
5,FL,10,0,2.593468082,0.3024317225,0.1910847232
5,FL,10,0.1,2.612059075,0.2757777707,0.2160847232
5,FL,10,0.2,2.630650068,0.2491238189,0.2427512031
5,FL,10,0.3,2.64924106,0.2224698672,0.278271908
5,FL,10,0.4,2.667832053,0.1958159154,0.294417683
5,FL,10,0.5,2.686423046,0.1691619636,0.2882674719
5,FL,10,0.6,2.705014039,0.1425080118,0.2728919442
5,FL,10,0.7,2.723605032,0.1158540601,0.2529037582
5,FL,10,0.8,2.742196024,0.08920010828,0.2381157038
5,FL,10,0.9,2.760787017,0.06254615651,0.2384024605
5,FL,10,1,2.77937801,0.03589220473,0.2113898334
5,FL,11,0,2.77937801,0.03589220473,0.2113898334
5,FL,11,0.1,2.799307293,0.06360983581,0.2381157038
5,FL,11,0.2,2.819236576,0.09132746688,0.2450509344
5,FL,11,0.3,2.83916586,0.119045098,0.2733568602
5,FL,11,0.4,2.859095143,0.146762729,0.2970726359
5,FL,11,0.5,2.879024426,0.1744803601,0.3070179612
5,FL,11,0.6,2.898953709,0.2021979912,0.2986979612
5,FL,11,0.7,2.918882992,0.2299156223,0.2788579612
5,FL,11,0.8,2.938812276,0.2576332533,0.2551779612
5,FL,11,0.9,2.958741559,0.2853508844,0.2520179612
5,FL,11,1,2.978670842,0.3130685155,0.2270179612
5,FL,12,0,2.978670842,0.3130685155,0.2270179612
5,FL,12,0.1,2.99809453,0.2828648871,0.2520179612
5,FL,12,0.2,3.017518218,0.2526612587,0.2610260497
5,FL,12,0.3,3.036941906,0.2224576303,0.2896237605
5,FL,12,0.4,3.056365594,0.1922540019,0.3135840046
5,FL,12,0.5,3.075789282,0.1620503735,0.323631849
5,FL,12,0.6,3.095212971,0.1318467451,0.3148265834
5,FL,12,0.7,3.114636659,0.1016431168,0.2938294117
5,FL,12,0.8,3.134060347,0.07143948836,0.2687682713
5,FL,12,0.9,3.153484035,0.04123585997,0.2644222068
5,FL,12,1,3.172907723,0.01103223158,0.238965834
5,FL,13,0,3.172907723,0.01103223158,0.238965834
5,FL,13,0.1,3.209108131,0.008604647445,0.263965834
5,FL,13,0.2,3.245308539,0.00617706331,0.263965834
5,FL,13,0.3,3.281508946,0.003749479175,0.278965834
5,FL,13,0.4,3.317709354,0.00132189504,0.2982250933
5,FL,13,0.5,3.353909762,-0.001105689095,0.3130399081
5,FL,13,0.6,3.39011017,-0.00353327323,0.318965834
5,FL,13,0.7,3.426310578,-0.005960857365,0.3012800572
5,FL,13,0.8,3.462510985,-0.0083884415,0.2623713481
5,FL,13,0.9,3.498711393,-0.01081602564,0.2307768623
5,FL,13,1,3.534911801,-0.01324360977,0.2057768623
5,FL,14,0,3.534911801,-0.01324360977,0.2057768623
5,FL,14,0.1,3.536913228,-0.01003377792,0.2307768623
5,FL,14,0.2,3.538914655,-0.006823946076,0.2339368623
5,FL,14,0.3,3.540916081,-0.003614114229,0.2576168623
5,FL,14,0.4,3.542917508,-0.000404282382,0.2774568623
5,FL,14,0.5,3.544918935,0.002805549465,0.2857768623
5,FL,14,0.6,3.546920362,0.006015381312,0.2773368214
5,FL,14,0.7,3.548921789,0.009225213159,0.2572105701
5,FL,14,0.8,3.550923215,0.01243504501,0.2331889153
5,FL,14,0.9,3.552924642,0.01564487685,0.2307768623
5,FL,14,1,3.554926069,0.0188547087,0.2046226231
5,FL,15,0,3.554926069,0.0188547087,0.2046226231
5,FL,15,0.1,3.591146774,0.01623702544,0.2307768623
5,FL,15,0.2,3.627367479,0.01361934219,0.2587247596
5,FL,15,0.3,3.663588184,0.01100165893,0.2959199784
5,FL,15,0.4,3.699808889,0.008383975678,0.312826896
5,FL,15,0.5,3.736029594,0.005766292422,0.3069009701
5,FL,15,0.6,3.772250298,0.003148609166,0.2920861553
5,FL,15,0.7,3.808471003,0.0005309259108,0.272826896
5,FL,15,0.8,3.844691708,-0.002086757345,0.257826896
5,FL,15,0.9,3.880912413,-0.0047044406,0.257826896
5,FL,15,1,3.917133118,-0.007322123856,0.232826896
5,FR,0,0,0.1934,-0.142,0.15
5,FR,0,0.1,0.2595818896,-0.1239713233,0.175
5,FR,0,0.2,0.3257637792,-0.1059426467,0.1784031239
5,FR,0,0.3,0.3919456689,-0.08791396999,0.2022875691
5,FR,0,0.4,0.4581275585,-0.06988529332,0.2222988609
5,FR,0,0.5,0.5243094481,-0.05185661664,0.230690693
5,FR,0,0.6,0.5904913377,-0.03382793997,0.2215117746
5,FR,0,0.7,0.6566732273,-0.0157992633,0.1996235844
5,FR,0,0.8,0.722855117,0.002229413368,0.175
5,FR,0,0.9,0.7890370066,0.02025809004,0.1696033646
5,FR,0,1,0.8552188962,0.03828676671,0.1424318617
5,FR,1,0,0.8552188962,0.03828676671,0.1424318617
5,FR,1,0.1,0.8883291814,0.03660595236,0.1674318617
5,FR,1,0.2,0.9214394666,0.03492513801,0.1674318617
5,FR,1,0.3,0.9545497517,0.03324432366,0.1824318617
5,FR,1,0.4,0.9876600369,0.03156350931,0.201691121
5,FR,1,0.5,1.020770322,0.02988269497,0.2165059358
5,FR,1,0.6,1.053880607,0.02820188062,0.2224318617
5,FR,1,0.7,1.086990892,0.02652106627,0.2064502485
5,FR,1,0.8,1.120101178,0.02484025192,0.1712906996
5,FR,1,0.9,1.153211463,0.02315943757,0.1451495375
5,FR,1,1,1.186321748,0.02147862322,0.1201495375
5,FR,2,0,1.186321748,0.02147862322,0.1201495375
5,FR,2,0.1,1.191028354,0.01911566807,0.1451495375
5,FR,2,0.2,1.195734959,0.01675271292,0.1484617745
5,FR,2,0.3,1.200441565,0.01438975778,0.1722697919
5,FR,2,0.4,1.205148171,0.01202680263,0.1922170498
5,FR,2,0.5,1.209854776,0.00966384748,0.2005820289
5,FR,2,0.6,1.214561382,0.007300892332,0.1919519079
5,FR,2,0.7,1.219267988,0.004937937184,0.1713723884
5,FR,2,0.8,1.223974594,0.002574982036,0.1468097362
5,FR,2,0.9,1.228681199,0.000212026888,0.1454540475
5,FR,2,1,1.233387805,-0.00215092826,0.1176000957
5,FR,3,0,1.233387805,-0.00215092826,0.1176000957
5,FR,3,0.1,1.266470588,-0.001517179438,0.1451495375
5,FR,3,0.2,1.299553371,-0.0008834306154,0.1483883935
5,FR,3,0.3,1.332636154,-0.0002496817931,0.174278553
5,FR,3,0.4,1.365718937,0.0003840670292,0.1959703083
5,FR,3,0.5,1.39880172,0.001017815852,0.2050668508
5,FR,3,0.6,1.431884504,0.001651564674,0.1959435141
5,FR,3,0.7,1.464967287,0.002285313496,0.174187865
5,FR,3,0.8,1.49805007,0.002919062318,0.1482214452
5,FR,3,0.9,1.531132853,0.003552811141,0.1500668508
5,FR,3,1,1.564215636,0.004186559963,0.1173424594
5,FR,4,0,1.564215636,0.004186559963,0.1173424594
5,FR,4,0.1,1.571903612,0.005825191045,0.1500668508
5,FR,4,0.2,1.579591588,0.007463822126,0.1500668508
5,FR,4,0.3,1.587279564,0.009102453208,0.174187865
5,FR,4,0.4,1.59496754,0.01074108429,0.1959435141
5,FR,4,0.5,1.602655515,0.01237971537,0.2050668508
5,FR,4,0.6,1.610343491,0.01401834645,0.1967468508
5,FR,4,0.7,1.618031467,0.01565697753,0.1769068508
5,FR,4,0.8,1.625719443,0.01729560862,0.1532268508
5,FR,4,0.9,1.633407419,0.0189342397,0.1500668508
5,FR,4,1,1.641095395,0.02057287078,0.1250668508
5,FR,5,0,1.641095395,0.02057287078,0.1250668508
5,FR,5,0.1,1.673148991,0.01690476809,0.1500668508
5,FR,5,0.2,1.705202586,0.0132366654,0.1827180687
5,FR,5,0.3,1.737256182,0.009568562707,0.222353281
5,FR,5,0.4,1.769309778,0.005900460016,0.2403692866
5,FR,5,0.5,1.801363374,0.002232357325,0.234100602
5,FR,5,0.6,1.833416969,-0.001435745366,0.2184288905
5,FR,5,0.7,1.865470565,-0.005103848057,0.1980556655
5,FR,5,0.8,1.897524161,-0.008771950748,0.1853692866
5,FR,5,0.9,1.929577756,-0.01244005344,0.1853692866
5,FR,5,1,1.961631352,-0.01610815613,0.1557420444
5,FR,6,0,1.961631352,-0.01610815613,0.1557420444
5,FR,6,0.1,1.987342856,-0.04137149444,0.1892037537
5,FR,6,0.2,2.01305436,-0.06663483274,0.2376749405
5,FR,6,0.3,2.038765864,-0.09189817105,0.3065730577
5,FR,6,0.4,2.064477368,-0.1171615094,0.3642985072
5,FR,6,0.5,2.090188872,-0.1424248477,0.3885059538
5,FR,6,0.6,2.115900377,-0.167688186,0.3662445942
5,FR,6,0.7,2.141611881,-0.1929515243,0.3131598136
5,FR,6,0.8,2.167323385,-0.2182148626,0.2498005593
5,FR,6,0.9,2.193034889,-0.2434782009,0.2029174992
5,FR,6,1,2.218746393,-0.2687415392,0.1744544191
5,FR,7,0,2.218746393,-0.2687415392,0.1744544191
5,FR,7,0.1,2.235926725,-0.2404137705,0.2000413412
5,FR,7,0.2,2.253107057,-0.2120860017,0.2040834938
5,FR,7,0.3,2.270287389,-0.183758233,0.2289988521
5,FR,7,0.4,2.287467721,-0.1554304643,0.249873882
5,FR,7,0.5,2.304648053,-0.1271026956,0.2586279268
5,FR,7,0.6,2.321828384,-0.09877492682,0.2502818417
5,FR,7,0.7,2.339008716,-0.07044715809,0.2303796386
5,FR,7,0.8,2.356189048,-0.04211938936,0.2066253963
5,FR,7,0.9,2.37336938,-0.01379162063,0.2036279268
5,FR,7,1,2.390549712,0.0145361481,0.1783771081
5,FR,8,0,2.390549712,0.0145361481,0.1783771081
5,FR,8,0.1,2.410115805,-0.01312336442,0.2036279268
5,FR,8,0.2,2.429681899,-0.04078287694,0.2107677542
5,FR,8,0.3,2.449247993,-0.06844238946,0.238005343
5,FR,8,0.4,2.468814086,-0.09610190198,0.2608260255
5,FR,8,0.5,2.48838018,-0.1237614145,0.2703959892
5,FR,8,0.6,2.507946273,-0.151420927,0.262065181
5,FR,8,0.7,2.527512366,-0.1790804395,0.2421994079
5,FR,8,0.8,2.54707846,-0.2067399521,0.2184886463
5,FR,8,0.9,2.566644554,-0.2343994646,0.215292065
5,FR,8,1,2.586210647,-0.2620589771,0.190292065
5,FR,9,0,2.586210647,-0.2620589771,0.190292065
5,FR,9,0.1,2.607107559,-0.2350727569,0.2154026283
5,FR,9,0.2,2.628004471,-0.2080865368,0.2417038844
5,FR,9,0.3,2.648901383,-0.1811003166,0.2770495102
5,FR,9,0.4,2.669798295,-0.1541140964,0.2931157038
5,FR,9,0.5,2.690695208,-0.1271278762,0.2871897779
5,FR,9,0.6,2.71159212,-0.1001416561,0.2723749631
5,FR,9,0.7,2.732489032,-0.0731554359,0.2531157038
5,FR,9,0.8,2.753385944,-0.04616921573,0.2381157038
5,FR,9,0.9,2.774282856,-0.01918299555,0.2381157038
5,FR,9,1,2.795179768,0.007803224618,0.2131157038
5,FR,10,0,2.795179768,0.007803224618,0.2131157038
5,FR,10,0.1,2.813154275,-0.01993071174,0.2381157038
5,FR,10,0.2,2.831128783,-0.04766464811,0.2460881893
5,FR,10,0.3,2.84910329,-0.07539858447,0.2738150522
5,FR,10,0.4,2.867077797,-0.1031325208,0.297045667
5,FR,10,0.5,2.885052305,-0.1308664572,0.3067875377
5,FR,10,0.6,2.903026812,-0.1586003936,0.2984675377
5,FR,10,0.7,2.921001319,-0.1863343299,0.2786275377
5,FR,10,0.8,2.938975826,-0.2140682663,0.2549475377
5,FR,10,0.9,2.956950334,-0.2418022026,0.2517875377
5,FR,10,1,2.974924841,-0.269536139,0.2267875377
5,FR,11,0,2.974924841,-0.269536139,0.2267875377
5,FR,11,0.1,2.994723129,-0.2414793019,0.2517875377
5,FR,11,0.2,3.014521417,-0.2134224649,0.259234298
5,FR,11,0.3,3.034319706,-0.1853656278,0.2865190737
