# D1 OCS2 DTC reference | source=ocs2_rollout primary=fk stair_rise=0.05 lane_y=-3.6 comH=0.5
# frames: world=MuJoCo(x fwd,z up); rel=yaw-only base (Rz(-yaw)*(foot-base), z=foot_z-base_z)
# primary foothold = OCS2 FK foot (dynamically feasible) if primary=fk; region_*=terrain-snap sanity; st=stance valid=region_valid
base_x,base_y,base_z,base_pitch,base_yaw,FL_wx,FL_wy,FL_wz,FL_rx,FL_ry,FL_rz,FL_fkx,FL_fky,FL_fkz,FL_regx,FL_regy,FL_regz,FL_st,FL_valid,FR_wx,FR_wy,FR_wz,FR_rx,FR_ry,FR_rz,FR_fkx,FR_fky,FR_fkz,FR_regx,FR_regy,FR_regz,FR_st,FR_valid,HL_wx,HL_wy,HL_wz,HL_rx,HL_ry,HL_rz,HL_fkx,HL_fky,HL_fkz,HL_regx,HL_regy,HL_regz,HL_st,HL_valid,HR_wx,HR_wy,HR_wz,HR_rx,HR_ry,HR_rz,HR_fkx,HR_fky,HR_fkz,HR_regx,HR_regy,HR_regz,HR_st,HR_valid
0.0000,-3.6000,0.5000,0.0000,0.0000,0.3764,-3.4625,-0.0000,0.3764,0.1375,-0.5000,0.3764,-3.4625,-0.0000,0.4764,-3.4625,0.0000,1,1,0.3764,-3.7375,-0.0000,0.3764,-0.1375,-0.5000,0.3764,-3.7375,-0.0000,0.4764,-3.7375,0.0000,1,1,-0.1822,-3.4625,-0.0000,-0.1822,0.1375,-0.5000,-0.1822,-3.4625,-0.0000,-0.0822,-3.4625,0.0000,1,1,-0.1822,-3.7375,-0.0000,-0.1822,-0.1375,-0.5000,-0.1822,-3.7375,-0.0000,-0.0822,-3.7375,0.0000,1,1
0.0010,-3.5962,0.4997,-0.0027,-0.0010,0.3764,-3.4737,-0.0028,0.3753,0.1229,-0.5025,0.3764,-3.4737,-0.0028,0.4106,-3.4591,0.0000,1,1,0.3947,-3.7709,0.0090,0.3939,-0.1743,-0.4907,0.3947,-3.7709,0.0090,0.4773,-3.7341,0.0000,0,1,-0.1788,-3.4872,0.0032,-0.1799,0.1088,-0.4965,-0.1788,-3.4872,0.0032,-0.0810,-3.4585,0.0000,0,1,-0.1828,-3.7473,0.0028,-0.1836,-0.1513,-0.4969,-0.1828,-3.7473,0.0028,-0.1483,-3.7335,0.0000,1,1
0.0030,-3.5912,0.4993,-0.0093,-0.0114,0.3766,-3.4793,-0.0037,0.3723,0.1162,-0.5030,0.3766,-3.4793,-0.0037,0.4118,-3.4577,0.0000,1,1,0.4083,-3.7180,0.0199,0.4067,-0.1222,-0.4794,0.4083,-3.7180,0.0199,0.4779,-3.7327,0.0000,0,1,-0.1726,-3.4226,0.0116,-0.1775,0.1666,-0.4877,-0.1726,-3.4226,0.0116,-0.0777,-3.4517,0.0000,0,1,-0.2010,-3.7510,0.0235,-0.2022,-0.1621,-0.4758,-0.2010,-3.7510,0.0235,-0.1497,-3.7267,0.0000,1,1
0.0051,-3.5877,0.5003,-0.0160,-0.0254,0.3762,-3.4794,-0.0041,0.3682,0.1177,-0.5044,0.3762,-3.4794,-0.0041,0.4138,-3.4595,0.0000,1,1,0.4170,-3.6986,0.0310,0.4146,-0.1004,-0.4693,0.4170,-3.6986,0.0310,0.4779,-3.7345,0.0000,0,1,-0.1643,-3.3895,0.0236,-0.1744,0.1938,-0.4767,-0.1643,-3.3895,0.0236,-0.0736,-3.4456,0.0000,0,1,-0.1930,-3.7521,0.0159,-0.1939,-0.1694,-0.4844,-0.1930,-3.7521,0.0159,-0.1515,-3.7205,0.0000,1,1
0.0071,-3.5850,0.5019,-0.0215,-0.0396,0.3760,-3.4754,-0.0036,0.3643,0.1241,-0.5055,0.3760,-3.4754,-0.0036,0.4155,-3.4622,0.0000,1,1,0.4224,-3.6949,0.0428,0.4193,-0.0934,-0.4591,0.4224,-3.6949,0.0428,0.4778,-3.7370,0.0000,0,1,-0.1566,-3.3732,0.0363,-0.1720,0.2052,-0.4656,-0.1566,-3.3732,0.0363,-0.0696,-3.4403,0.0000,0,1,-0.1914,-3.7490,0.0132,-0.1919,-0.1717,-0.4887,-0.1914,-3.7490,0.0132,-0.1534,-3.7151,0.0000,1,1
0.0088,-3.5824,0.5039,-0.0253,-0.0523,0.3762,-3.4716,-0.0029,0.3611,0.1299,-0.5068,0.3762,-3.4716,-0.0029,0.4168,-3.4646,0.0000,1,1,0.4250,-3.6974,0.0552,0.4216,-0.0931,-0.4487,0.4250,-3.6974,0.0552,0.4775,-3.7393,0.0000,0,1,-0.1508,-3.3643,0.0490,-0.1708,0.2095,-0.4549,-0.1508,-3.3643,0.0490,-0.0660,-3.4355,0.0000,0,1,-0.2043,-3.7442,0.0273,-0.2044,-0.1727,-0.4766,-0.2043,-3.7442,0.0273,-0.1554,-3.7102,0.0000,1,1
0.0103,-3.5799,0.5060,-0.0278,-0.0621,0.3764,-3.4691,-0.0023,0.3585,0.1333,-0.5083,0.3764,-3.4691,-0.0023,0.4175,-3.4660,0.0000,1,1,0.4258,-3.7017,0.0669,0.4223,-0.0958,-0.4391,0.4258,-3.7017,0.0669,0.4774,-3.7405,0.0000,0,1,-0.1469,-3.3596,0.0610,-0.1706,0.2101,-0.4450,-0.1469,-3.3596,0.0610,-0.0630,-3.4313,0.0000,0,1,-0.2041,-3.7422,0.0265,-0.2039,-0.1753,-0.4795,-0.2041,-3.7422,0.0265,-0.1571,-3.7058,0.0000,1,1
0.0117,-3.5772,0.5080,-0.0292,-0.0690,0.3767,-3.4675,-0.0019,0.3566,0.1346,-0.5099,0.3767,-3.4675,-0.0019,0.4177,-3.4660,0.0000,1,1,0.4257,-3.7056,0.0765,0.4219,-0.0996,-0.4315,0.4257,-3.7056,0.0765,0.4777,-3.7404,0.0000,0,1,-0.1447,-3.3568,0.0711,-0.1712,0.2091,-0.4369,-0.1447,-3.3568,0.0711,-0.0605,-3.4274,0.0000,0,1,-0.2121,-3.7396,0.0349,-0.2121,-0.1774,-0.4731,-0.2121,-3.7396,0.0349,-0.1585,-3.7018,0.0000,1,1
0.0131,-3.5743,0.5099,-0.0297,-0.0728,0.3769,-3.4666,-0.0016,0.3550,0.1339,-0.5115,0.3769,-3.4666,-0.0016,0.4175,-3.4646,0.0000,1,1,0.4252,-3.7076,0.0826,0.4207,-0.1030,-0.4273,0.4252,-3.7076,0.0826,0.4785,-3.7389,0.0000,0,1,-0.1441,-3.3545,0.0776,-0.1728,0.2078,-0.4323,-0.1441,-3.3545,0.0776,-0.0586,-3.4239,0.0000,0,1,-0.2121,-3.7388,0.0348,-0.2126,-0.1804,-0.4751,-0.2121,-3.7388,0.0348,-0.1596,-3.6982,0.0000,1,1
0.0144,-3.5711,0.5116,-0.0294,-0.0737,0.3769,-3.4660,-0.0015,0.3538,0.1315,-0.5131,0.3769,-3.4660,-0.0015,0.4169,-3.4618,0.0000,1,1,0.4248,-3.7073,0.0842,0.4193,-0.1056,-0.4274,0.4248,-3.7073,0.0842,0.4796,-3.7361,0.0000,0,1,-0.1447,-3.3519,0.0794,-0.1748,0.2069,-0.4322,-0.1447,-3.3519,0.0794,-0.0571,-3.4206,0.0000,0,1,-0.2138,-3.7380,0.0367,-0.2153,-0.1833,-0.4749,-0.2138,-3.7380,0.0367,-0.1605,-3.6948,0.0000,1,1
