# D1 OCS2 DTC reference | source=ocs2_rollout primary=fk stair_rise=0.1 lane_y=0.0 comH=0.5
# frames: world=MuJoCo(x fwd,z up); rel=yaw-only base (Rz(-yaw)*(foot-base), z=foot_z-base_z)
# primary foothold = OCS2 FK foot (dynamically feasible) if primary=fk; region_*=terrain-snap sanity; st=stance valid=region_valid
base_x,base_y,base_z,base_pitch,base_yaw,FL_wx,FL_wy,FL_wz,FL_rx,FL_ry,FL_rz,FL_fkx,FL_fky,FL_fkz,FL_regx,FL_regy,FL_regz,FL_st,FL_valid,FR_wx,FR_wy,FR_wz,FR_rx,FR_ry,FR_rz,FR_fkx,FR_fky,FR_fkz,FR_regx,FR_regy,FR_regz,FR_st,FR_valid,HL_wx,HL_wy,HL_wz,HL_rx,HL_ry,HL_rz,HL_fkx,HL_fky,HL_fkz,HL_regx,HL_regy,HL_regz,HL_st,HL_valid,HR_wx,HR_wy,HR_wz,HR_rx,HR_ry,HR_rz,HR_fkx,HR_fky,HR_fkz,HR_regx,HR_regy,HR_regz,HR_st,HR_valid
0.0000,0.0000,0.5000,0.0000,0.0000,0.3764,0.1375,-0.0000,0.3764,0.1375,-0.5000,0.3764,0.1375,-0.0000,0.4764,0.1375,0.0000,1,1,0.3764,-0.1375,-0.0000,0.3764,-0.1375,-0.5000,0.3764,-0.1375,-0.0000,0.4764,-0.1375,0.0000,1,1,-0.1822,0.1375,-0.0000,-0.1822,0.1375,-0.5000,-0.1822,0.1375,-0.0000,-0.0822,0.1375,0.0000,1,1,-0.1822,-0.1375,-0.0000,-0.1822,-0.1375,-0.5000,-0.1822,-0.1375,-0.0000,-0.0822,-0.1375,0.0000,1,1
0.0003,0.0002,0.5002,-0.0019,-0.0000,0.3763,0.1376,-0.0001,0.3760,0.1374,-0.5003,0.3763,0.1376,-0.0001,0.4097,0.1377,0.0000,1,1,0.3804,-0.1377,0.0043,0.3801,-0.1379,-0.4959,0.3804,-0.1377,0.0043,0.4767,-0.1373,0.0000,0,1,-0.1802,0.1443,0.0044,-0.1805,0.1441,-0.4958,-0.1802,0.1443,0.0044,-0.0819,0.1377,0.0000,0,1,-0.1823,-0.1374,-0.0000,-0.1826,-0.1376,-0.5002,-0.1823,-0.1374,-0.0000,-0.1489,-0.1373,0.0000,1,1
0.0011,0.0007,0.5009,-0.0067,0.0000,0.3766,0.1376,0.0003,0.3755,0.1369,-0.5006,0.3766,0.1376,0.0003,0.4085,0.1382,0.0000,1,1,0.3865,-0.1379,0.0125,0.3854,-0.1386,-0.4884,0.3865,-0.1379,0.0125,0.4775,-0.1368,0.0000,0,1,-0.1760,0.1511,0.0123,-0.1771,0.1504,-0.4886,-0.1760,0.1511,0.0123,-0.0811,0.1381,0.0000,0,1,-0.1832,-0.1374,0.0015,-0.1843,-0.1381,-0.4994,-0.1832,-0.1374,0.0015,-0.1501,-0.1369,0.0000,1,1
0.0023,0.0015,0.5019,-0.0126,0.0001,0.3767,0.1377,0.0004,0.3744,0.1362,-0.5015,0.3767,0.1377,0.0004,0.4075,0.1390,0.0000,1,1,0.3930,-0.1377,0.0234,0.3907,-0.1392,-0.4785,0.3930,-0.1377,0.0234,0.4786,-0.1360,0.0000,0,1,-0.1715,0.1577,0.0233,-0.1738,0.1562,-0.4786,-0.1715,0.1577,0.0233,-0.0801,0.1390,0.0000,0,1,-0.1836,-0.1373,0.0021,-0.1859,-0.1388,-0.4998,-0.1836,-0.1373,0.0021,-0.1510,-0.1360,0.0000,1,1
0.0035,0.0028,0.5032,-0.0185,0.0004,0.3766,0.1379,0.0004,0.3732,0.1350,-0.5028,0.3766,0.1379,0.0004,0.4067,0.1403,0.0000,1,1,0.3988,-0.1367,0.0358,0.3952,-0.1397,-0.4674,0.3988,-0.1367,0.0358,0.4798,-0.1347,0.0000,0,1,-0.1674,0.1642,0.0361,-0.1708,0.1615,-0.4671,-0.1674,0.1642,0.0361,-0.0789,0.1401,0.0000,0,1,-0.1846,-0.1371,0.0032,-0.1882,-0.1398,-0.5000,-0.1846,-0.1371,0.0032,-0.1518,-0.1349,0.0000,1,1
0.0048,0.0043,0.5044,-0.0230,0.0009,0.3758,0.1382,-0.0002,0.3711,0.1336,-0.5046,0.3758,0.1382,-0.0002,0.4059,0.1421,0.0000,1,1,0.4031,-0.1346,0.0484,0.3982,-0.1393,-0.4560,0.4031,-0.1346,0.0484,0.4812,-0.1329,0.0000,0,1,-0.1650,0.1707,0.0496,-0.1697,0.1666,-0.4548,-0.1650,0.1707,0.0496,-0.0777,0.1415,0.0000,0,1,-0.1856,-0.1369,0.0034,-0.1905,-0.1410,-0.5010,-0.1856,-0.1369,0.0034,-0.1524,-0.1335,0.0000,1,1
0.0061,0.0062,0.5058,-0.0269,0.0015,0.3755,0.1383,-0.0003,0.3696,0.1315,-0.5061,0.3755,0.1383,-0.0003,0.4052,0.1441,0.0000,1,1,0.4067,-0.1318,0.0604,0.4004,-0.1386,-0.4454,0.4067,-0.1318,0.0604,0.4826,-0.1309,0.0000,0,1,-0.1631,0.1772,0.0620,-0.1689,0.1713,-0.4438,-0.1631,0.1772,0.0620,-0.0764,0.1433,0.0000,0,1,-0.1860,-0.1368,0.0036,-0.1923,-0.1427,-0.5022,-0.1860,-0.1368,0.0036,-0.1530,-0.1317,0.0000,1,1
0.0074,0.0083,0.5070,-0.0294,0.0022,0.3750,0.1385,-0.0007,0.3679,0.1294,-0.5077,0.3750,0.1385,-0.0007,0.4044,0.1466,0.0000,1,1,0.4086,-0.1280,0.0696,0.4009,-0.1372,-0.4374,0.4086,-0.1280,0.0696,0.4840,-0.1284,0.0000,0,1,-0.1629,0.1836,0.0718,-0.1699,0.1757,-0.4352,-0.1629,0.1836,0.0718,-0.0752,0.1454,0.0000,0,1,-0.1866,-0.1367,0.0036,-0.1943,-0.1446,-0.5034,-0.1866,-0.1367,0.0036,-0.1536,-0.1296,0.0000,1,1
0.0087,0.0108,0.5081,-0.0307,0.0030,0.3749,0.1385,-0.0008,0.3666,0.1266,-0.5089,0.3749,0.1385,-0.0008,0.4036,0.1494,0.0000,1,1,0.4095,-0.1233,0.0750,0.4004,-0.1353,-0.4331,0.4095,-0.1233,0.0750,0.4855,-0.1256,0.0000,0,1,-0.1634,0.1903,0.0775,-0.1716,0.1800,-0.4306,-0.1634,0.1903,0.0775,-0.0740,0.1477,0.0000,0,1,-0.1873,-0.1366,0.0040,-0.1964,-0.1468,-0.5041,-0.1873,-0.1366,0.0040,-0.1541,-0.1273,0.0000,1,1
0.0100,0.0137,0.5091,-0.0310,0.0036,0.3748,0.1386,-0.0009,0.3652,0.1236,-0.5100,0.3748,0.1386,-0.0009,0.4028,0.1525,0.0000,1,1,0.4101,-0.1183,0.0768,0.3996,-0.1334,-0.4323,0.4101,-0.1183,0.0768,0.4868,-0.1225,0.0000,0,1,-0.1640,0.1974,0.0794,-0.1733,0.1843,-0.4297,-0.1640,0.1974,0.0794,-0.0728,0.1505,0.0000,0,1,-0.1891,-0.1365,0.0061,-0.1996,-0.1495,-0.5030,-0.1891,-0.1365,0.0061,-0.1548,-0.1245,0.0000,1,1
0.0112,0.0169,0.5099,-0.0301,0.0042,0.3748,0.1387,-0.0009,0.3641,0.1203,-0.5108,0.3748,0.1387,-0.0009,0.4020,0.1559,0.0000,1,1,0.4105,-0.1127,0.0733,0.3988,-0.1313,-0.4366,0.4105,-0.1127,0.0733,0.4882,-0.1191,0.0000,0,1,-0.1649,0.2051,0.0759,-0.1753,0.1889,-0.4340,-0.1649,0.2051,0.0759,-0.0716,0.1536,0.0000,0,1,-0.1897,-0.1364,0.0068,-0.2015,-0.1525,-0.5031,-0.1897,-0.1364,0.0068,-0.1554,-0.1214,0.0000,1,1
